month,top50_excess_5d,top50_return_5d,ndcg_at_50,precision_at_50,rank_ic,turnover
202401,0.0137952768078352,-0.04726088165063292,0.10387664013330715,0.05818181818181818,0.08758545246620808,0.4933333333333333
202402,-0.031285178157752856,0.024600338434704123,0.004260707463519779,0.0,-0.12224979144216407,0.4373333333333333
202403,0.0037272252383598967,0.014396991377852674,0.020107542548032493,0.007619047619047619,0.008580960878872265,0.6266666666666667
202404,-0.005545834853598966,-0.00541280916242084,0.010086686894558489,0.003,-0.04072511072883454,0.359
202405,-0.0029983635354029307,-0.023010819744123244,0.010162756196673402,0.001,0.08186858893098845,0.778
202406,-0.0020277959602788944,-0.01341892002804833,0.012814559933499331,0.003157894736842105,0.02082512334665737,0.7410526315789474
202407,-0.007664670539708979,-0.007402472036359626,0.008400649338252693,0.002608695652173913,0.12321341010907372,0.5678260869565218
202408,0.00927787048963241,0.0018879395146438015,0.028773890102804008,0.013636363636363636,0.17360377415536193,0.5609090909090909
202409,-0.010878925525080392,0.0547665828039796,0.01676160608222272,0.0010526315789473684,0.02840759822981199,0.6652631578947369
202410,0.043238652123955834,0.07329413784891797,0.04548380272804061,0.021111111111111112,0.05911863549102698,0.6233333333333334
202411,0.06773374435919781,0.08393505037579432,0.12341195017173617,0.058095238095238096,0.23561888724873464,0.38190476190476186
202412,-0.03296151727715103,-0.058396794599851476,0.014428135838291327,0.004545454545454546,0.040830972228578045,0.5572727272727273
202501,0.002181368113826428,0.02261546454906668,0.008359946037900294,0.003333333333333333,0.08195076089995607,0.4977777777777778
202502,0.0005309100314706361,0.017904355809398805,0.015807803178619583,0.005555555555555556,0.06015554970719144,0.7333333333333333
202503,0.005317873461205155,-0.008159833209533193,0.03249900967577844,0.012380952380952381,0.12726307413291446,0.621904761904762
202504,0.01752128557583745,0.033256359005342295,0.03281359506350793,0.012380952380952381,0.1295464228062871,0.6552380952380952
202505,0.010720182456274818,0.019962561659770037,0.014592127350729357,0.003157894736842105,0.18077676306018456,0.6589473684210526
202506,0.006396742796251275,0.017110864472745603,0.02098260557436029,0.008,0.15081093118887906,0.579
202507,0.009437004439918401,0.025021138960465338,0.016615589328167008,0.006086956521739131,0.15581338527139843,0.6426086956521739
202508,-0.011441901456264272,9.860438995586207e-05,0.00836610343590117,0.0038095238095238095,0.02676937610851176,0.6828571428571428
202509,-0.011126645089879898,-0.0061200525090187195,0.009674238633595858,0.0027272727272727275,0.04443345584631809,0.620909090909091
202510,-0.0031656422442863773,0.004106697000093132,0.013534855967876321,0.003529411764705882,0.06419125512810346,0.631764705882353
202511,-0.001377284025123355,-0.005428471632563163,0.009410684734277773,0.002,0.1229433847571058,0.6759999999999999
202512,-0.005474708841993798,0.00672678204561205,0.006304410980988397,0.0008695652173913044,-0.0022795667483437067,0.62
