offset,observation_opened,input_end_date,total_ret,ann_ret,max_drawdown,avg_turnover,annualized_turnover,changed_day_ratio,median_holding_sessions,development_ret,selection_ret,positive_years,year_2018,year_2022,year_2024,year_2025,low_frequency_pass,return_pass,risk_pass,gate_pass
0,False,20251231,0.32966976013040705,0.037685276345664986,-0.2048743447635406,0.08182820166994285,20.6207068208256,0.22668727460072127,5.0,0.014316639598549452,0.3109020479607525,5,-0.19339292850304668,-0.03248018150517973,0.05757675616675728,0.2395337173560692,False,False,False,False
1,False,20251231,0.7044190394827439,0.07168106497063498,-0.2180511912162597,0.08769457607061652,22.099033169795362,0.2287480680061824,5.0,0.19145715031851118,0.4305332248223135,6,-0.14451266728235235,0.03435353981727007,0.15521068500545643,0.23833101908640741,False,True,False,False
2,False,20251231,0.3468769605323485,0.03941897882929868,-0.19408207145659595,0.0742470755025576,18.710263026644515,0.22668727460072127,5.0,0.040446712409575314,0.2945179647049019,5,-0.1684039807351434,-0.06366295064905181,0.1288853794538647,0.1467222343965242,False,False,False,False
3,False,20251231,0.47568230565846004,0.051817377474530524,-0.22270756285945137,0.08123483231511101,20.471177743407974,0.23235445646573932,5.0,0.08533338128720014,0.3596580839597041,6,-0.14780609084779994,-0.08214897362733664,0.2014389090961055,0.13169140242231037,False,False,False,False
4,False,20251231,0.10418309585552565,0.012950036883896399,-0.2074636548310057,0.07427973450781386,18.718493095969094,0.21844410097887687,5.0,-0.011076335286744454,0.11655038225391223,5,-0.1687256090699748,-0.08449020199659119,0.08985715704976527,0.0244924071301289,False,False,False,False
