days,top50_return_5d,top50_excess_5d,top50_mean_percentile,precision_at_50,random_precision_at_50,ndcg_at_50,random_ndcg_at_50,monthly_win_rate,monthly_median_excess,worst_month_excess,turnover,rank_ic,top50_return_5d_2024,top50_excess_5d_2024,top50_mean_percentile_2024,precision_at_50_2024,ndcg_at_50_2024,turnover_2024,rank_ic_2024,top50_return_5d_2025,top50_excess_5d_2025,top50_mean_percentile_2025,precision_at_50_2025,ndcg_at_50_2025,turnover_2025,rank_ic_2025,model,lookback_days,validation_days,update_days,half_life,seconds,experiment_id,bins
485,0.008058166962127071,0.0025541291190766292,0.5209669198917537,0.01129896907216495,0.009300879651781876,0.026630473215769338,0.024093601028236683,0.7083333333333334,0.0032092731246391006,-0.03690502663872283,0.6039669421487603,0.08994716912779098,0.0012502570809081316,-0.000888004054502207,0.5006219886222386,0.014958677685950413,0.033623359862732634,0.6160165975103735,0.06604243801417346,0.014838060753299841,0.005982097135562549,0.5412281271642749,0.007654320987654321,0.01966636388011041,0.5920164609053498,0.11375352686234008,regression,120,20,5,0.0,142.04709148406982,D00,10
485,0.00814525003445502,0.0026412121914045805,0.5156265058427029,0.01084536082474227,0.009300879651781876,0.025932788964768562,0.024093601028236683,0.625,0.005415351773868256,-0.033519569786396516,0.599793388429752,0.07162095957231437,0.0038053352505486404,0.0016670741151383046,0.49978117064052846,0.01297520661157025,0.029970457859278717,0.5742738589211619,0.054053760261511374,0.012467305086740385,0.003611341469003094,0.5314066339041276,0.008724279835390947,0.021911735991634994,0.6251028806584362,0.08911586588183835,regression,120,20,5,10.0,157.84193634986877,D10,10
485,0.008358722247114213,0.002854684404063773,0.5181084262017963,0.01022680412371134,0.009300879651781876,0.025010070937379773,0.024093601028236683,0.5,-0.0004231869968263595,-0.03296151727715103,0.6008677685950412,0.07962517400600942,0.006269480926507108,0.004131219791096769,0.5050671504993213,0.015123966942148761,0.03426615707732518,0.5661410788381742,0.06444309693840379,0.010439365866813472,0.00158340224907618,0.5310960341030265,0.005349794238683128,0.01579207568689916,0.6353086419753087,0.09474477339020926,regression,120,20,5,20.0,168.7687177658081,D20,10
