signal_date,execution_date,stage,asset_code,target_weight
20180206,20180207,executed,LOW_RISK,0.7
20180207,20180208,executed,LOW_RISK,1.0
20180208,20180209,executed,LOW_RISK,1.0
20180209,20180212,executed,LOW_RISK,1.0
20180212,20180213,executed,LOW_RISK,1.0
20180213,20180214,executed,LOW_RISK,1.0
20180214,20180222,executed,LOW_RISK,1.0
20180222,20180223,executed,LOW_RISK,1.0
20180223,20180226,executed,LOW_RISK,1.0
20180226,20180227,executed,LOW_RISK,1.0
20180227,20180228,executed,LOW_RISK,1.0
20180228,20180301,executed,LOW_RISK,1.0
20180301,20180302,executed,LOW_RISK,1.0
20180302,20180305,executed,LOW_RISK,1.0
20180305,20180306,executed,LOW_RISK,1.0
20180306,20180307,executed,LOW_RISK,1.0
20180307,20180308,executed,LOW_RISK,1.0
20180308,20180309,executed,LOW_RISK,1.0
20180309,20180312,executed,LOW_RISK,1.0
20180312,20180313,executed,LOW_RISK,1.0
20180313,20180314,executed,LOW_RISK,1.0
20180314,20180315,executed,884209.TI,0.09999999999999999
20180314,20180315,executed,884219.TI,0.09999999999999999
20180314,20180315,executed,885539.TI,0.09999999999999999
20180314,20180315,executed,LOW_RISK,0.7
20180315,20180316,executed,884209.TI,0.10073001267237362
20180315,20180316,executed,884219.TI,0.0988123902644618
20180315,20180316,executed,885539.TI,0.09995462440956766
20180315,20180316,executed,LOW_RISK,0.700502972653597
20180316,20180319,executed,884209.TI,0.09836293955265017
20180316,20180319,executed,884219.TI,0.09909600897123838
20180316,20180319,executed,885539.TI,0.1002998730539388
20180316,20180319,executed,LOW_RISK,0.7022411784221727
20180319,20180320,executed,884209.TI,0.09762383546814078
20180319,20180320,executed,884219.TI,0.10026816812141297
20180319,20180320,executed,885539.TI,0.10074013260372551
20180319,20180320,executed,LOW_RISK,0.7013678638067207
20180320,20180321,executed,884209.TI,0.0972920314995162
20180320,20180321,executed,884219.TI,0.10162926864840927
20180320,20180321,executed,885539.TI,0.1035556098543732
20180320,20180321,executed,LOW_RISK,0.6975230899977013
20180321,20180322,executed,884209.TI,0.09639141792516297
20180321,20180322,executed,884219.TI,0.10037714165811418
20180321,20180322,executed,885539.TI,0.10192372312086646
20180321,20180322,executed,LOW_RISK,0.7013077172958564
20180322,20180323,executed,884209.TI,0.0941877465096338
20180322,20180323,executed,884219.TI,0.09627108405593056
20180322,20180323,executed,885539.TI,0.10001116906329892
20180322,20180323,executed,LOW_RISK,0.7095300003711367
20180323,20180326,executed,884209.TI,0.09227814215721403
20180323,20180326,executed,884219.TI,0.09181752318493897
20180323,20180326,executed,885539.TI,0.09780508234108425
20180323,20180326,executed,LOW_RISK,0.7180992523167627
20180326,20180327,executed,884209.TI,0.09999999999999999
20180326,20180327,executed,884261.TI,0.09999999999999999
20180326,20180327,executed,885539.TI,0.09999999999999999
20180326,20180327,executed,LOW_RISK,0.7
20180327,20180328,executed,884209.TI,0.09937299637094237
20180327,20180328,executed,884261.TI,0.1012854332190995
20180327,20180328,executed,885539.TI,0.10086389618848539
20180327,20180328,executed,LOW_RISK,0.6984776742214727
20180328,20180329,executed,884227.TI,0.09999999999999999
20180328,20180329,executed,884258.TI,0.09999999999999999
20180328,20180329,executed,884261.TI,0.09999999999999999
20180328,20180329,executed,LOW_RISK,0.7
20180329,20180330,executed,884227.TI,0.09970019479498199
20180329,20180330,executed,884258.TI,0.09906842722028249
20180329,20180330,executed,884261.TI,0.10029839451815475
20180329,20180330,executed,LOW_RISK,0.7009329834665807
20180330,20180402,executed,884227.TI,0.10678071082100275
20180330,20180402,executed,884258.TI,0.10533755806355258
20180330,20180402,executed,884261.TI,0.10104970434156703
20180330,20180402,executed,LOW_RISK,0.6868320267738777
20180402,20180403,executed,884227.TI,0.10806470350780287
20180402,20180403,executed,884258.TI,0.10121822146762777
20180402,20180403,executed,884261.TI,0.09964924546776142
20180402,20180403,executed,LOW_RISK,0.691067829556808
20180403,20180404,executed,884227.TI,0.10991158193017884
20180403,20180404,executed,884258.TI,0.10347135128556553
20180403,20180404,executed,884261.TI,0.09967207057806365
20180403,20180404,executed,LOW_RISK,0.686944996206192
20180404,20180409,executed,884227.TI,0.09999999999999999
20180404,20180409,executed,884244.TI,0.09999999999999999
20180404,20180409,executed,884258.TI,0.09999999999999999
20180404,20180409,executed,LOW_RISK,0.7
20180409,20180410,executed,884227.TI,0.1042648144243271
20180409,20180410,executed,884244.TI,0.09962790486523197
