period,year,score_name,policy_name,cost_bps,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover
development,2018,score_frozen_selected_5d,simple_v1,20.0,242,-0.12725430708832108,-0.13214922073270363,0.08214920983357744,-1.6835189623917552,-0.155358699477397,0.5785123966942148,0.061599539176316956
development,2019,score_frozen_selected_5d,simple_v1,20.0,244,0.09844600765161049,0.10183286396854596,0.1355973927537145,0.783305086281375,-0.1285242858668909,0.5450819672131147,0.0992265589388439
development,2020,score_frozen_selected_5d,simple_v1,20.0,243,0.05572693275564555,0.05784949372970494,0.15922676368067687,0.43341387775694507,-0.0953851715510119,0.5720164609053497,0.0903934366601473
development,2021,score_frozen_selected_5d,simple_v1,20.0,243,0.21396589114902298,0.2227150088331753,0.1633179744140463,1.3133197561124597,-0.13172260675597203,0.5555555555555556,0.13628800214307002
development,2022,score_frozen_selected_5d,simple_v1,20.0,242,-0.07868771806443375,-0.08180257632595522,0.07433495905327378,-1.1105627408616006,-0.12767782315289988,0.5785123966942148,0.05304969753438632
development,2023,score_frozen_selected_5d,simple_v1,20.0,242,0.0024821078279759767,0.0025848067125577856,0.05503160527841052,0.07444026660639186,-0.05575170227993287,0.5,0.060496400938112614
selection,2024,score_frozen_selected_5d,simple_v1,20.0,242,0.24113681820986677,0.2522657555492749,0.13836821544860536,1.6950462300651428,-0.06482206091094245,0.5495867768595041,0.07353699312577909
selection,2025,score_frozen_selected_5d,simple_v1,20.0,243,0.09702412276811367,0.10079301611622138,0.1573093381342945,0.6893237860471533,-0.0872542029912442,0.5473251028806584,0.13481762807444747
observation,2026,score_frozen_selected_5d,simple_v1,20.0,159,0.0068359103027459955,0.010855912171255921,0.11856819920445424,0.15055933836342866,-0.07506484286949555,0.5911949685534591,0.09743924977464037
