period,boundary_mode,score_name,policy_name,cost_bps,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
development,continuous_carry,score_frozen_selected_5d,simple_v1,20.0,1456,0.13477041691039182,0.02212334749266409,0.11984365859090858,0.24271291252179011,-0.1893370269982635,0.554945054945055,0.08357150708878652,0.24336022864254636,3.0,5.0,0.40241630926253086,0.5975836907374691,21.060019786374205,0.46703296703296704,937,5.0,5.0,5.0,0.7961579509071505
selection,continuous_carry,score_frozen_selected_5d,simple_v1,20.0,485,0.36155702923188704,0.17393313905854968,0.148214523368375,1.156153849134159,-0.10009935408168691,0.5484536082474227,0.10424048651243147,0.10111327191705854,5.0,5.0,0.5625823843322905,0.43741761566770954,26.26860260113273,0.4618556701030928,312,5.0,5.0,5.0,0.7564102564102564
observation,continuous_carry,score_frozen_selected_5d,simple_v1,20.0,159,0.0068359103027459955,0.010855912171255921,0.11856819920445424,0.15055933836342866,-0.07506484286949555,0.5911949685534591,0.09743924977464037,0.030985681428335635,3.0,5.0,0.45288910626931594,0.5471108937306841,24.554690943209373,0.37735849056603776,93,5.0,5.0,5.0,0.7741935483870968
