month,top50_excess_5d,top50_return_5d,ndcg_at_50,precision_at_50,rank_ic,turnover
202401,0.017647297984909553,-0.04340886047355857,0.07455994209570596,0.034545454545454546,0.1568346561040487,0.6428571428571429
202402,-0.029031221751110167,0.026854294841346806,0.007697897042658488,0.0026666666666666666,-0.18596505075657505,0.4653333333333333
202403,0.005937373430568382,0.01660713957006116,0.01631342695439328,0.004761904761904762,-0.031466884384868714,0.5942857142857143
202404,-0.017033918583368675,-0.01690089289219055,0.008960054540488597,0.002,-0.09219003987364648,0.369
202405,0.00013717562852800738,-0.01987528058019231,0.00711932438455624,0.002,0.09431017913078105,0.6849999999999999
202406,-0.002725660849616905,-0.014116784917386339,0.011027089013211429,0.003157894736842105,0.0069448520429108065,0.7126315789473685
202407,-0.011321122461650351,-0.011058923958300998,0.010533301183606718,0.006956521739130435,0.10484496144481303,0.5226086956521739
202408,0.009367817176138797,0.001977886201150188,0.02838621325883286,0.01090909090909091,0.1661513661523201,0.5954545454545455
202409,-0.014050278477221208,0.051595229851838786,0.01613870228371851,0.002105263157894737,0.016094686182637825,0.6789473684210526
202410,0.02051157889658807,0.050567064621550216,0.03538572653808593,0.017777777777777778,0.0563106651352514,0.6488888888888888
202411,0.06691278688723601,0.08311409290383251,0.11828877828220677,0.058095238095238096,0.20772015168858854,0.38285714285714284
202412,-0.033519569786396516,-0.05895484710909697,0.014953363658456821,0.005454545454545454,0.05264975202376399,0.5945454545454546
202501,0.009603268781743826,0.030037365216984073,0.015664762305482836,0.0044444444444444444,0.11874292694332217,0.6122222222222222
202502,0.006461905918739944,0.023835351696668113,0.038418456383776264,0.01888888888888889,0.02476000351988236,0.6866666666666666
202503,0.008017928121492518,-0.005459778549245827,0.04619968545777683,0.021904761904761906,0.13014576712783055,0.5257142857142857
202504,0.011802431237772764,0.02753750466727761,0.031238585818525465,0.014285714285714285,0.10085868897766884,0.6152380952380953
202505,0.010163729418375482,0.019406108621870703,0.01576054345092809,0.00631578947368421,0.17905308736205897,0.616842105263158
202506,0.009910209693098717,0.020624331369593046,0.023852070471993107,0.008,0.14604342132763565,0.536
202507,0.0068206347185230075,0.022404769239069942,0.015240859820030279,0.006956521739130435,0.15808706691206287,0.691304347826087
202508,-0.00871153242734484,0.0028289734188752954,0.015118860761207139,0.007619047619047619,0.032831470938236,0.72
202509,-0.009993624218339074,-0.004987031637477894,0.016872862261156866,0.006363636363636364,0.036183275389778634,0.6336363636363637
202510,-0.007112094198856397,0.00016024504552311227,0.01297450965637461,0.004705882352941177,0.02483900993932356,0.6458823529411765
202511,0.004893330117168129,0.0008421425097283211,0.01534320968730376,0.001,0.10802030201071364,0.6679999999999999
202512,0.002165502056184037,0.014366992943789885,0.01659516514151544,0.004347826086956522,0.008433360863626655,0.5573913043478261
