date,train_start,train_end,rows,iteration
20240102,20231113,20231222,159415,19
20240109,20231120,20231229,159524,198
20240116,20231127,20240108,159633,15
20240123,20231204,20240115,159738,10
20240130,20231211,20240122,159845,166
20240206,20231218,20240129,159946,200
20240221,20231225,20240205,160055,65
20240228,20240102,20240220,160161,1
20240306,20240109,20240227,160244,1
20240313,20240116,20240305,160308,2
20240320,20240123,20240312,160357,57
20240327,20240130,20240319,160399,71
20240403,20240206,20240326,160437,1
20240412,20240221,20240402,160486,97
20240419,20240228,20240411,160555,28
20240426,20240306,20240418,160627,1
20240508,20240313,20240425,160674,1
20240515,20240320,20240507,160587,14
20240522,20240327,20240514,160525,165
20240529,20240403,20240521,160449,3
20240605,20240412,20240528,160352,196
20240613,20240419,20240604,160248,67
20240620,20240426,20240612,160184,1
20240627,20240508,20240619,160235,17
20240704,20240515,20240626,160205,1
20240711,20240522,20240703,160161,143
20240718,20240529,20240710,160138,11
20240725,20240605,20240717,160128,200
20240801,20240613,20240724,160076,61
20240808,20240620,20240731,160031,144
20240815,20240627,20240807,160036,182
20240822,20240704,20240814,160053,106
20240829,20240711,20240821,160058,65
20240905,20240718,20240828,160065,10
20240912,20240725,20240904,160094,200
20240923,20240801,20240911,160116,172
20240930,20240808,20240920,160147,15
20241014,20240815,20240927,160196,1
20241021,20240822,20241011,160220,49
20241028,20240829,20241018,160268,159
20241104,20240905,20241025,160323,16
20241111,20240912,20241101,160373,56
20241118,20240923,20241108,160438,162
20241125,20240930,20241115,160475,44
20241202,20241014,20241122,160547,200
20241209,20241021,20241129,160607,200
20241216,20241028,20241206,160677,25
20241223,20241104,20241213,160765,59
20241230,20241111,20241220,160845,41
20250107,20241118,20241227,160930,177
20250114,20241125,20250106,160991,1
20250121,20241202,20250113,161051,1
20250205,20241209,20250120,161122,2
20250212,20241216,20250127,161199,15
20250219,20241223,20250211,161274,49
20250226,20241230,20250218,161355,2
20250305,20250107,20250225,161439,1
20250312,20250114,20250304,161489,173
20250319,20250121,20250311,161510,76
20250326,20250205,20250318,161525,16
20250402,20250212,20250325,161533,162
20250410,20250219,20250401,161546,200
20250417,20250226,20250409,161573,1
20250424,20250305,20250416,161624,71
20250506,20250312,20250423,161680,93
20250513,20250319,20250430,161657,104
20250520,20250326,20250512,161668,42
20250527,20250402,20250519,161670,200
20250604,20250410,20250526,161653,200
20250611,20250417,20250603,161607,52
20250618,20250424,20250610,161590,23
20250625,20250506,20250617,161695,44
20250702,20250513,20250624,161775,34
20250709,20250520,20250701,161843,81
20250716,20250527,20250708,161910,200
20250723,20250604,20250715,162014,91
20250730,20250611,20250722,162087,200
20250806,20250618,20250729,162125,172
20250813,20250625,20250805,162149,200
20250820,20250702,20250812,162184,1
20250827,20250709,20250819,162235,53
20250903,20250716,20250826,162284,3
20250910,20250723,20250902,162341,19
20250917,20250730,20250909,162392,6
20250924,20250806,20250916,162458,150
20251009,20250813,20250923,162510,199
20251016,20250820,20250930,162563,30
20251023,20250827,20251015,162602,120
20251030,20250903,20251022,162672,32
20251106,20250910,20251029,162741,35
20251113,20250917,20251105,162793,200
20251120,20250924,20251112,162876,200
20251127,20251009,20251119,162961,27
20251204,20251016,20251126,163048,24
20251211,20251023,20251203,163078,1
20251218,20251030,20251210,163117,1
20251225,20251106,20251217,163174,22
