period,model,factor_name,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions
selection,manual_baseline,,484,0.2562508272607953,0.12612140273217642,0.1468331902789474,0.8823814505686821,-0.10123271162580905,0.5289256198347108,0.08496785536086837,0.08224888398932059,4.0,7.0
selection,manual_plus_ga,sector_factor_27,484,0.231664614052993,0.11459197320362713,0.14793701274330662,0.8072721008672076,-0.0857215224591974,0.5413223140495868,0.0861408081382885,0.08338430227786327,4.0,7.0
observation,manual_baseline,,94,-0.016805400829318473,-0.04441889548780331,0.13722029744422803,-0.26211305654226796,-0.09480522391729151,0.5531914893617021,0.10432468337172926,0.0196130404738851,5.0,7.0
