year,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover
2018,242,-0.022831878492624025,-0.023764046172701336,0.04073895595068249,-0.5697839037416279,-0.057606258913250996,0.768595041322314,0.02588577866705126
2019,244,-0.061399981971160256,-0.06334796409653398,0.11331292213447566,-0.5206057353088556,-0.15962477591081037,0.6639344262295082,0.0669835277087326
2020,243,-0.013331230321093401,-0.013821551854204972,0.10957490785654335,-0.07126097201202694,-0.0848524978301527,0.6008230452674898,0.06339915478883627
2021,243,0.02605597849039154,0.027033945186874186,0.06146560614286906,0.46481357638872167,-0.044121223165557,0.6584362139917695,0.05859046052848285
2022,242,-0.032088097250864034,-0.0333916681339248,0.05914058312108543,-0.5445629300787639,-0.06469113147277195,0.640495867768595,0.043412521406353766
2023,242,-0.01369995711764671,-0.014262015139146822,0.044461572136284544,-0.30082382994611706,-0.05917455182487941,0.5619834710743802,0.04434488808983018
2024,242,-0.012136788202071425,-0.01263512682739576,0.02082851305832224,-0.6000511747647373,-0.027653746198163076,0.7272727272727273,0.013972588894979456
2025,243,0.03718709609087467,0.03859064197057238,0.054918261734125624,0.7169632539468869,-0.0286452167105562,0.551440329218107,0.04869393887597077
