period,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
development,1456,-0.113584853505729,-0.020651635888312647,0.07729592382645421,-0.23099452549412078,-0.1859653971689631,0.6490384615384616,0.050473289023724055,0.14697821763708444,5.0,5.0,0.21915632735560797,0.780843672644392,12.719268833978461,0.3021978021978022,754,5.0,5.0,5.0,0.8236074270557029
selection,485,0.024598975979697846,0.012706703992890533,0.04159630583183538,0.3243455767907708,-0.04437415141972956,0.6391752577319587,0.03136905909164108,0.03042798731889185,5.0,5.0,0.16093520907593262,0.8390647909240674,7.905002891093552,0.26804123711340205,224,5.0,5.0,5.0,0.7544642857142857
full,1941,-0.09177994860907668,-0.012420766099570657,0.0701058883094163,-0.14296009426584266,-0.1959211389255059,0.6465739309634209,0.045699692157644585,0.1774062049559763,5.0,5.0,0.2046085466417272,0.7953914533582728,11.516322423726436,0.2936630602782071,978,5.0,5.0,5.0,0.8077709611451943
