trade_date,top50_return_5d,universe_return_5d,top50_excess_5d,top50_mean_percentile,precision_at_50,random_precision_at_50,ndcg_at_50,random_ndcg_at_50,turnover,rank_ic,month,year
20240102,-0.10997398900120713,-0.04184544057557213,-0.068128548425635,0.17755864139613436,0.04,0.009382623381497467,0.09441834382485516,0.024107087008194156,,0.13248134579672122,202401,2024
20240103,-0.11711493221547457,-0.0453690686047079,-0.07174586361076668,0.14666791744840527,0.04,0.009380863039399626,0.12967648747012683,0.024190118824265167,0.38,0.2208119449121431,202401,2024
20240104,-0.12018301876870703,-0.027200093589951894,-0.09298292517875514,0.08404127579737336,0.0,0.009380863039399626,0.0036503921861018814,0.02411507191994997,0.31999999999999995,0.07159223154188565,202401,2024
20240105,-0.1654439673127111,-0.020441703559788093,-0.14500226375292302,0.06408102025506376,0.0,0.009377344336084021,0.003261192067140637,0.024106026506626656,0.38,0.023968437009863473,202401,2024
20240108,-0.1625124939818482,-0.0031070938176338,-0.1594054001642144,0.05017629407351838,0.0,0.009377344336084021,0.0010639949269565811,0.024106026506626656,0.42000000000000004,-0.020192024548905462,202401,2024
20240109,-0.05009573177112135,-0.00783964808041481,-0.04225608369070654,0.2004913728432108,0.0,0.009377344336084021,0.02863377053323281,0.024106026506626656,0.43999999999999995,0.006973795730783896,202401,2024
20240110,-0.08112262425989349,-0.024755565212473993,-0.056367059047419496,0.14959880014998128,0.04,0.009373828271466067,0.050464177190676245,0.024096987876515437,0.31999999999999995,0.02671466736357045,202401,2024
20240111,-0.04857521665718191,-0.04479792290190792,-0.00377729375527399,0.41910044977511246,0.04,0.009370314842578711,0.07237400145973653,0.024087956021989005,0.43999999999999995,0.00028443551376765075,202401,2024
20240112,0.13798113205712562,-0.04292617745695536,0.18090730951408096,0.9726519129782446,0.24,0.009377344336084021,0.42672619783014254,0.024106026506626656,0.5800000000000001,0.07243852621143597,202401,2024
20240115,0.15455435910650586,-0.09326883274849268,0.24782319185499854,0.9793173293323331,0.26,0.009377344336084021,0.44118511613821376,0.024106026506626656,0.42000000000000004,-0.017601057570849184,202401,2024
20240116,-0.13397514836465668,-0.08995081447738976,-0.044024333887266925,0.243689538807649,0.0,0.009373828271466067,0.005845625634174246,0.024096987876515437,1.0,-0.13162608235917078,202401,2024
20240117,-0.06389077704750602,-0.05399843615191644,-0.009892340895589581,0.35873640794900635,0.06,0.009373828271466067,0.13817504485987472,0.024096987876515437,0.88,-0.09705513133823881,202401,2024
20240118,-0.014540908240943505,-0.018117097922980777,0.0035761896820372726,0.46101929923177815,0.04,0.00936855911560802,0.04257766549372447,0.02408344263318968,0.88,0.06446648705687545,202401,2024
20240119,0.005464925124082034,-0.011768949142187008,0.01723387426626904,0.5602023229674036,0.02,0.009366804046459348,0.021064037154405295,0.024078930935431498,0.88,0.2745832364936592,202401,2024
20240122,0.010041947468531254,0.01393330273363239,-0.0038913552651011363,0.5093088593369545,0.0,0.009365049634763064,0.004764079630742556,0.02407442092776425,0.92,0.2748461360445955,202401,2024
20240123,0.06110762383889576,-0.02064185970786203,0.08174948354675779,0.8726278329275146,0.02,0.009365049634763064,0.08541280048493005,0.02407442092776425,1.0,0.4198284256711952,202401,2024
20240124,0.01815807275995822,-0.07750505839829773,0.09566313115825595,0.9173913857677902,0.0,0.009363295880149813,0.09204815004831218,0.024107365792759048,0.78,0.4545822729338299,202401,2024
20240125,-0.03141743919652607,-0.12223274914064734,0.09081530994412126,0.8910541097172815,0.0,0.009361542782250515,0.14173975360216937,0.024102852150034326,0.72,0.3406513516368392,202401,2024
20240126,-0.05977630918837341,-0.15608305334080236,0.09630674415242896,0.8904885810557843,0.0,0.009359790340696368,0.08244288411044413,0.024098340197179585,0.8,0.2123984104531675,202401,2024
20240129,-0.06719856285409775,-0.19563340024857703,0.12843483739447928,0.8828822758749767,0.0,0.009358038555118848,0.06161269259245798,0.02409382993324599,0.6799999999999999,0.2949532427494888,202401,2024
20240130,0.01491341820310944,-0.1445047964881445,0.15941821469125392,0.9013026389668727,0.0,0.009358038555118848,0.04617861713966088,0.02409382993324599,0.8200000000000001,0.41378756670107236,202401,2024
20240131,0.0293077853406275,-0.11518102725322756,0.14448881259385504,0.8171351047904192,0.0,0.0093562874251497,0.013655634878914247,0.024089321357285427,0.48,0.45467991945812947,202401,2024
20240201,0.027530108788621378,-0.04724816201202785,0.07477827080064922,0.6915288173652694,0.0,0.0093562874251497,0.0,0.024089321357285427,0.38,0.4341162020353795,202402,2024
20240202,0.0542160624932443,0.025564246211897235,0.028651816281347067,0.5675453695042095,0.0,0.009354536950420954,0.0,0.024084814468350483,0.5,0.3150867607135405,202402,2024
20240205,0.07287893397619405,0.12974664669580332,-0.056867712719609276,0.25357784431137725,0.0,0.0093562874251497,0.0,0.024089321357285427,0.24,-0.17687783861490355,202402,2024
20240206,0.08420018867727976,0.11521536013490977,-0.03101517145763001,0.35247146866230117,0.0,0.009354536950420954,0.0,0.024084814468350483,0.92,-0.4302016723114048,202402,2024
20240207,0.046216891786085935,0.16160550169381646,-0.11538860990773053,0.19592218481107374,0.0,0.00935278713056491,0.0,0.02408030926549445,0.14,-0.6990649676873372,202402,2024
20240208,0.0247958768250964,0.11781658620673822,-0.09302070938164182,0.21130703066566942,0.0,0.009349289454001496,0.0,0.024071303914235856,0.040000000000000036,-0.6519286007474028,202402,2024
20240219,0.01447903842200366,0.09648204306934581,-0.08200300464734214,0.18004113687359757,0.0,0.009349289454001496,0.0,0.024071303914235856,0.07999999999999996,-0.6635748368739264,202402,2024
20240220,0.02902463480692973,0.11286847074954919,-0.08384383594261946,0.18594988780852656,0.0,0.009349289454001496,0.0,0.024071303914235856,0.040000000000000036,-0.6250784466412275,202402,2024
20240221,0.0006147156060250181,0.027761748976171372,-0.027147033370146356,0.3052019446522064,0.0,0.009349289454001496,0.004143563219582794,0.024071303914235856,0.28,-0.30367126820786844,202402,2024
20240222,0.018919304520447416,0.04334924003114648,-0.024429935510699063,0.3308021690351533,0.0,0.009349289454001496,0.009074887606702215,0.024071303914235856,0.07999999999999996,-0.16687660941967325,202402,2024
20240223,0.02477056919237509,0.028694224501333417,-0.003923655308958326,0.4769478212081541,0.0,0.009351037965214139,0.016056882383053094,0.024075805747771337,0.12,0.10225257436059826,202402,2024
20240226,0.0325894146755697,0.015128419740845292,0.01746099493472441,0.619304152637486,0.0,0.00935278713056491,0.02705661354995234,0.02408030926549445,0.21999999999999997,0.3383233308084588,202402,2024
20240227,0.01659787225263369,-0.0291286095393178,0.04572648179195149,0.7673573966710304,0.02,0.009351037965214139,0.04179346785795402,0.024075805747771337,0.09999999999999998,0.4771927150443257,202402,2024
20240228,-0.0019189063951852248,0.043805181791806286,-0.04572408818699151,0.2814141414141414,0.0,0.00935278713056491,0.0019374994258807819,0.02408030926549445,1.0,-0.3866972221933672,202402,2024
20240229,-0.013291069614593112,-0.003378149365162632,-0.00991292024943048,0.4768873924429481,0.0,0.00935278713056491,0.003427962643783058,0.02408030926549445,0.92,0.08319436788643596,202402,2024
20240301,-0.019293774360007027,-0.004250161834516262,-0.015043612525490765,0.4353367003367003,0.0,0.00935278713056491,0.003921104221842148,0.02408030926549445,0.88,0.10161295453269602,202403,2024
