month,top50_excess_5d,top50_return_5d,ndcg_at_50,precision_at_50,rank_ic,turnover
202401,-0.011782192108149604,-0.07283835056661773,0.01482979234155457,0.005454545454545454,-0.10172580940774675,0.6447619047619048
202402,-0.022245120842232746,0.033640395750224227,0.015913997669611473,0.009333333333333334,-0.23332013766216833,0.5613333333333334
202403,-0.0062391752889143955,0.004430590850578382,0.018873547470068558,0.011428571428571429,0.05403651953320201,0.7066666666666667
202404,-0.010622297333001992,-0.010489271641823865,0.01224903186569855,0.001,0.02613377767126402,0.843
202405,-0.0027713692447125017,-0.022783825453432816,0.009483602449065329,0.0,0.050681335083399046,0.788
202406,0.004377040756326928,-0.007014083311442506,0.011972419187158962,0.003157894736842105,0.08790309221715185,0.8673684210526316
202407,0.0069896685416597154,0.007251867045009068,0.015744280759239716,0.006086956521739131,0.12618469518341852,0.8060869565217391
202408,0.0062996126651884725,-0.0010903183098001368,0.016675525736977045,0.004545454545454546,0.1564350904736059,0.7045454545454546
202409,0.006378177038273247,0.07202368536733324,0.013808789965495739,0.005263157894736842,0.0455106961198105,0.7294736842105263
202410,0.008888184056837625,0.038943669781799764,0.01368985440534054,0.003333333333333333,0.10422788845734861,0.8288888888888889
202411,0.031864581892949696,0.04806588790954621,0.04873679694965475,0.01904761904761905,0.24802038315868571,0.758095238095238
202412,-0.024063559169770214,-0.04949883649247067,0.014494557307674875,0.0036363636363636364,0.05705452454880582,0.6027272727272727
202501,0.013792096368700706,0.03422619280394096,0.013441663736962643,0.0022222222222222222,0.14747207180429425,0.7244444444444444
202502,-0.0009143530137928996,0.01645909276413527,0.009457020760022512,0.003333333333333333,0.07489401168644196,0.8066666666666666
202503,0.006122682482316032,-0.007355024188422313,0.010942448022386395,0.0019047619047619048,0.1461272203597443,0.7942857142857143
202504,0.01672456817248516,0.032459641601990004,0.019560275288979287,0.006666666666666667,0.18447332452312018,0.7038095238095238
202505,0.00826842523250768,0.0175108044360029,0.012764160974246269,0.004210526315789474,0.1738851412364513,0.7252631578947368
202506,0.009667975746029003,0.02038209742252333,0.02308351397067001,0.013000000000000001,0.15950156580749636,0.733
202507,0.006897190529624844,0.02248132505017178,0.018976613724826997,0.007826086956521738,0.1447754739967471,0.7391304347826086
202508,-0.010182112743765556,0.0013583931024545774,0.005630194262340382,0.0019047619047619048,0.022999678763535807,0.8285714285714285
202509,-0.0016940987280393523,0.0033124938528218263,0.0060317243442846,0.0018181818181818182,0.0665306044069989,0.8154545454545455
202510,0.005545665610168942,0.012818004854548454,0.014266089700014984,0.004705882352941177,0.15862639892016053,0.8611764705882353
202511,0.0019403418614604676,-0.00211084574597934,0.011259586163433035,0.0,0.10017294248970139,0.789
202512,-0.006778290766175153,0.005423200121430694,0.00781201236101194,0.0052173913043478265,0.00352259281125605,0.8208695652173913
