year,cost_bps,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate
2018,20.0,242,0.034129059403555706,0.03556414270258812,0.0045239628713730036,7.727516976302792,-0.0015234374999998357,0.8140495867768595
2019,20.0,244,0.02803070501125826,0.028962928907598773,0.007726473585603997,3.6993464223999952,-0.0048542240701873185,0.8524590163934426
2020,20.0,243,0.020804493065710083,0.02158328707416879,0.0021012063736259605,10.164055384838274,-0.00047412090082987746,0.7942386831275721
2021,20.0,243,0.013773418597295528,0.014287172421303618,0.01153822601767164,1.2352886441143769,-0.014181449827979198,0.8518518518518519
2022,20.0,242,0.018087509583712746,0.018841925786789115,0.0018588769977934832,10.04317872618503,-0.0002857114708233466,0.8099173553719008
2023,20.0,242,0.02045239005827182,0.02130647160380561,0.00590586529772283,3.5728843882463286,-0.0024107216228144157,0.7727272727272727
2024,20.0,242,0.014564648942622105,0.015171036787909875,0.004550010403021836,3.3116194212094268,-0.0024492375760448715,0.8016528925619835
2025,20.0,243,0.007118749018121706,0.007383377386008361,0.003389232361185861,2.1722059363781447,-0.004009737966256366,0.6872427983539094
2026,20.0,159,0.006925913710910336,0.01099913237384964,0.0013198197070960107,8.28915505044833,-0.0002291955237118115,0.7547169811320755
