date,signal_date,gross_return,turnover,cost,net_return,equity,drawdown,sector_target_exposure,mapped_equity_exposure,mapping_coverage,etf_count
20180103,20180102,0.0,2.220446049250313e-16,4.440892098500626e-19,0.0,1.0,0.0,0.6999999999999995,0.0,0.0,1
20180104,20180103,9.980039920143287e-05,0.0,0.0,9.980039920143291e-05,1.0000998003992014,0.0,0.2999999999999997,0.0,0.0,1
20180105,20180104,0.0003991617603034124,2.220446049250313e-16,4.440892098500626e-19,0.00039916176030341255,1.0004990019960078,0.0,0.2992251697306576,0.0,0.0,1
20180108,20180105,0.0005187032418954018,5.551115123125783e-17,1.1102230246251566e-19,0.0005187032418954018,1.0010179640718562,0.0,0.2995265820626967,0.0,0.0,1
20180109,20180108,0.0005782536739047383,5.551115123125783e-17,1.1102230246251566e-19,0.0005782536739047384,1.0015968063872254,0.0,0.30221326443186747,0.0,0.0,1
20180110,20180109,-0.0009764846552411387,1.6653345369377348e-16,3.3306690738754697e-19,-0.0009764846552411388,1.0006187624750498,-0.0009764846552410278,0.2999999999999997,0.0,0.0,1
20180111,20180110,0.00016955576389854335,1.6653345369377348e-16,3.3306690738754697e-19,0.00016955576389854343,1.0007884231536925,-0.000807094459944091,0.2963012851797485,0.0,0.0,1
20180112,20180111,0.00015955484199081657,1.1102230246251565e-16,2.220446049250313e-19,0.0001595548419908166,1.000948103792415,-0.0006476683937822747,0.2999999999999997,0.0,0.0,1
20180115,20180112,0.0001694999750734282,0.0,0.0,0.0001694999750734283,1.0011177644710576,-0.00047827819848555997,0.2999999999999997,0.0,0.0,1
20180116,20180115,0.00011962676449472903,1.1102230246251565e-16,2.220446049250313e-19,0.00011962676449472909,1.0012375249500995,-0.00035870864886411447,0.29532656348848807,0.0,0.0,1
20180117,20180116,7.974163709567604e-05,5.551115123125783e-17,1.1102230246251566e-19,7.974163709567605e-05,1.0013173652694607,-0.00027899561578337284,0.2981708515656979,0.0,0.0,1
20180118,20180117,2.9900729577869708e-05,1.1102230246251565e-16,2.220446049250313e-19,2.990072957786971e-05,1.0013473053892212,-0.00024910322837801147,0.2999999999999997,0.0,0.0,1
20180119,20180118,0.00025913190810800113,0.0,0.0,0.00025913190810800124,1.0016067864271456,0.0,0.2999999999999997,0.0,0.0,1
20180122,20180119,0.00013949641793131734,0.0,0.0,0.0001394964179313174,1.0017465069860279,0.0,0.2999999999999997,0.0,0.0,1
20180123,20180122,0.0002490660024905277,1.6653345369377348e-16,3.3306690738754697e-19,0.0002490660024905278,1.0019960079840318,0.0,0.30043414388099177,0.0,0.0,1
20180124,20180123,4.980079681282667e-05,1.1102230246251565e-16,2.220446049250313e-19,4.9800796812826675e-05,1.0020459081836326,0.0,0.2999999999999997,0.0,0.0,1
20180125,20180124,4.9798316816840306e-05,0.0,0.0,4.979831681684033e-05,1.0020958083832334,0.0,0.2999999999999997,0.0,0.0,1
20180126,20180125,0.0002987750224081597,2.220446049250313e-16,4.440892098500626e-19,0.0002987750224081598,1.0023952095808382,0.0,0.2972485278580423,0.0,0.0,1
20180129,20180126,0.00018916766228582738,2.220446049250313e-16,4.440892098500626e-19,0.00018916766228582738,1.002584830339321,0.0,0.2999999999999997,0.0,0.0,1
20180130,20180129,0.00019908619436792555,1.6653345369377348e-16,3.3306690738754697e-19,0.00019908619436792563,1.0027844311377243,0.0,0.2965086751001237,0.0,0.0,1
20180131,20180130,0.0002189512236387969,1.1102230246251565e-16,2.220446049250313e-19,0.00021895122363879693,1.003003992015968,0.0,0.2999999999999997,0.0,0.0,1
20180201,20180131,0.00018905284524528546,1.1102230246251565e-16,2.220446049250313e-19,0.00018905284524528554,1.003193612774451,0.0,0.3027903330351341,0.0,0.0,1
20180202,20180201,0.00037803422204540904,1.1102230246251565e-16,2.220446049250313e-19,0.00037803422204540915,1.003572854291417,0.0,0.2944659999398165,0.0,0.0,1
20180205,20180202,7.955607708987067e-05,1.1102230246251565e-16,2.220446049250313e-19,7.955607708987067e-05,1.0036526946107784,0.0,0.29717456313035406,0.0,0.0,1
20180206,20180205,0.0005369608018614968,5.551115123125783e-17,1.1102230246251566e-19,0.0005369608018614969,1.004191616766467,0.0,0.29343244132032453,0.0,0.0,1
20180207,20180206,-0.0003975352812563004,1.6653345369377348e-16,3.3306690738754697e-19,-0.00039753528125630044,1.0037924151696607,-0.0003975352812561894,0.2999999999999997,0.0,0.0,1
20180208,20180207,-9.94233446013348e-05,2.220446049250313e-16,4.440892098500626e-19,-9.942334460133484e-05,1.003692614770459,-0.0004969191015703478,0.0,0.0,1.0,1
20180209,20180208,0.00018892313811269545,0.0,0.0,0.00018892313811269545,1.003882235528942,-0.0003080898429735912,0.0,0.0,1.0,1
20180212,20180209,0.00023859467735043438,0.0,0.0,0.00023859467735043438,1.004121756487026,-6.956867421981094e-05,0.0,0.0,1.0,1
20180213,20180212,0.0003081112778666739,0.0,0.0,0.0003081112778666739,1.004431137724551,0.0,0.0,0.0,1.0,1
