variant,year,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight
simple_v1,2018,242,-0.1272543048224013,-0.13214921838638471,0.08214920953718806,-1.6835189358751819,-0.15535869939462466,0.5785123966942148,0.06159953917594514,0.02981417696115745,3.0,5.0,0.22605909574708696,0.773940904252913
simple_v1,2019,244,0.09844601661118535,0.10183287325040835,0.13559739388204278,0.7833051430474292,-0.12852428308955555,0.5450819672131147,0.09922655892199653,0.04842256075393431,3.0,5.0,0.47002253853818937,0.5299774614618106
simple_v1,2020,243,0.05572694017273827,0.05784950143696932,0.15922676213935022,0.4334139262076643,-0.09538516557458432,0.5720164609053497,0.09039343661932639,0.04393121019699263,3.0,5.0,0.4900060025971098,0.5099939974028902
simple_v1,2021,243,0.2139658884454747,0.2227150060092895,0.1633179735783974,1.3133197478374987,-0.1317226064319652,0.5555555555555556,0.13628800210241213,0.06623596902177227,5.0,5.0,0.6778727164663749,0.322127283533625
simple_v1,2022,242,-0.078687716116988,-0.08180257430489268,0.07433495913088674,-1.1105627100246493,-0.1276778204853921,0.5785123966942148,0.05304969753390342,0.025676053606409253,3.0,5.0,0.24843131408167432,0.7515686859183255
simple_v1,2023,242,0.002482110460463316,0.0025848094541063293,0.055031604942257784,0.0744403164080488,-0.055751700773395974,0.5,0.06049640093474585,0.02928025805241699,3.0,5.0,0.30004726842322144,0.6999527315767785
simple_v1,2024,242,0.2411368171893069,0.25226575447701394,0.1383682131085326,1.6950462502245058,-0.06482205850278333,0.5495867768595041,0.07353699312180939,0.03559190467095574,3.0,5.0,0.38484497003917006,0.6151550299608299
simple_v1,2025,243,0.10181783113018628,0.10578175137227497,0.1594261547793314,0.7106539033211032,-0.0857331632917937,0.551440329218107,0.13398711886208134,0.06511773976697152,5.0,5.0,0.737940295644982,0.26205970435501796
sector_strength_candidate,2018,242,-0.2111178928580737,-0.21881048124936753,0.11098135857535284,-2.1682164978202207,-0.2257737148915293,0.6115702479338843,0.09925384577300886,0.048038861354136285,3.0,5.0,0.2887488813720092,0.7112511186279907
sector_strength_candidate,2019,244,0.07923276640325305,0.08193423746926443,0.06641456318254614,1.2191450730126523,-0.0569073167075399,0.5573770491803278,0.0668715733208857,0.03263332778059222,5.0,5.0,0.2951635558254218,0.704836444174578
sector_strength_candidate,2020,243,0.12121167439169178,0.12597278333118433,0.13487256057822228,0.947534797447116,-0.11471272018545708,0.5637860082304527,0.104919000830536,0.05099063440364051,5.0,5.0,0.5350531498536171,0.4649468501463829
sector_strength_candidate,2021,243,0.2791830168009244,0.2909016462066405,0.17218759785880777,1.5697114005441046,-0.13299217051273637,0.5596707818930041,0.1555933604918784,0.07561837319905292,5.0,5.0,0.7622961046703637,0.23770389532963626
sector_strength_candidate,2022,242,-0.08005713685950389,-0.08322371783386373,0.07308510497013714,-1.1520023631073664,-0.12936492991887494,0.5909090909090909,0.055722138801857675,0.026969515180099112,5.0,5.0,0.24836776121952275,0.7516322387804772
sector_strength_candidate,2023,242,0.0076226703191757395,0.00793890378900075,0.05262800443661498,0.1765681542525264,-0.04243801528211022,0.49586776859504134,0.06583515819759614,0.031864216567636536,5.0,5.0,0.2999515598178948,0.7000484401821051
sector_strength_candidate,2024,242,0.19719407821654733,0.206131057296026,0.13809101622189013,1.426120138698399,-0.06482205850278333,0.5247933884297521,0.07616865574058246,0.036865629378441914,3.0,5.0,0.38342677540847786,0.616573224591522
sector_strength_candidate,2025,243,0.14354310578745033,0.1492381687291109,0.1658275593961305,0.9220158368958461,-0.08733424856536498,0.5349794238683128,0.16198523635049852,0.07872482486634229,5.0,5.0,0.7872970276280972,0.21270297237190283
