trade_date,top50_return_5d,universe_return_5d,top50_excess_5d,top50_mean_percentile,precision_at_50,random_precision_at_50,ndcg_at_50,random_ndcg_at_50,turnover,rank_ic,month,year
20240102,-0.11762123783153836,-0.04184544057557213,-0.07577579725596623,0.15977481703884405,0.04,0.009382623381497467,0.03581591676561476,0.024107087008194156,,0.13210410788147653,202401,2024
20240103,-0.11949984145645995,-0.0453690686047079,-0.07413077285175204,0.14979737335834897,0.04,0.009380863039399626,0.049864200193074464,0.024190118824265167,0.48,0.21576951300422162,202401,2024
20240104,-0.1223915490309516,-0.027200093589951894,-0.09519145544099972,0.08120075046904317,0.0,0.009380863039399626,0.003876650350550415,0.02411507191994997,0.31999999999999995,0.0867930776495717,202401,2024
20240105,-0.16641123472048636,-0.020441703559788093,-0.14596953116069827,0.046522880720180036,0.0,0.009377344336084021,0.0,0.024106026506626656,0.33999999999999997,0.059166210152809144,202401,2024
20240108,-0.16236575762658098,-0.0031070938176338,-0.15925866380894718,0.03331582895723931,0.0,0.009377344336084021,0.0,0.024106026506626656,0.36,0.018173428962292393,202401,2024
20240109,-0.05084127823579068,-0.00783964808041481,-0.04300163015537587,0.18825581395348837,0.0,0.009377344336084021,0.041865127560070395,0.024106026506626656,0.38,0.002745843589580161,202401,2024
20240110,-0.0878237979554819,-0.024755565212473993,-0.06306823274300791,0.13565054368203974,0.04,0.009373828271466067,0.09642502012695642,0.024096987876515437,0.30000000000000004,0.04611148101642706,202401,2024
20240111,-0.04793013778501958,-0.04479792290190792,-0.0031322148831116614,0.4222751124437781,0.04,0.009370314842578711,0.05313333311328753,0.024087956021989005,0.45999999999999996,0.016820130151454206,202401,2024
20240112,-0.010115900783715503,-0.04292617745695536,0.03281027667323985,0.5706076519129784,0.04,0.009377344336084021,0.09927981339590947,0.024106026506626656,0.9,0.07024535836507093,202401,2024
20240115,-0.11799299831547531,-0.09326883274849268,-0.024724165566982634,0.348053263315829,0.0,0.009377344336084021,0.00775330070110083,0.024106026506626656,0.84,-0.032433916234746854,202401,2024
20240116,-0.13209042490856177,-0.08995081447738976,-0.04213961043117201,0.256387326584177,0.0,0.009373828271466067,0.003261192067140637,0.024096987876515437,0.78,-0.12226637429349071,202401,2024
20240117,-0.09566382768157969,-0.05399843615191644,-0.04166539152966325,0.2632189726284215,0.0,0.009373828271466067,0.0,0.024096987876515437,0.86,-0.09444065690582115,202401,2024
20240118,-0.032512598980933595,-0.018117097922980777,-0.014395501057952818,0.40227281244144647,0.0,0.00936855911560802,0.008226384502090782,0.02408344263318968,0.96,0.12547051899643233,202401,2024
20240119,0.025898057629480397,-0.011768949142187008,0.037667006771667406,0.7659010865492692,0.0,0.009366804046459348,0.010467674219030465,0.024078930935431498,0.94,0.3857103163139224,202401,2024
20240122,0.03893437319092959,0.01393330273363239,0.0250010704572972,0.6660760442030343,0.0,0.009365049634763064,0.008394515100357006,0.02407442092776425,0.76,0.3574769394639797,202401,2024
20240123,0.03172833928831449,-0.02064185970786203,0.05237019899617652,0.7821932946244615,0.0,0.009365049634763064,0.022203694541688957,0.02407442092776425,0.56,0.399411386325349,202401,2024
20240124,0.029890805658926708,-0.07750505839829773,0.10739586405722444,0.9344737827715356,0.02,0.009363295880149813,0.1445184994046337,0.024107365792759048,0.48,0.4561377137640822,202401,2024
20240125,-0.032068570180025666,-0.12223274914064734,0.09016417896062168,0.8293765212507022,0.02,0.009361542782250515,0.21935026194710272,0.024102852150034326,0.48,0.4113153778133792,202401,2024
20240126,-0.029774113103740663,-0.15608305334080236,0.12630894023706168,0.8858124298015724,0.04,0.009359790340696368,0.23037429749079433,0.024098340197179585,0.45999999999999996,0.3472459901708703,202401,2024
20240129,-0.028559792681534066,-0.19563340024857703,0.16707360756704298,0.9337525734606025,0.0,0.009358038555118848,0.11876231421926242,0.02409382993324599,0.5,0.44166190415595774,202401,2024
20240130,0.01435222191048283,-0.1445047964881445,0.15885701839862731,0.8990529664982221,0.0,0.009358038555118848,0.0460953537810139,0.02409382993324599,0.38,0.39637190998035493,202401,2024
20240131,0.05766089913447139,-0.11518102725322756,0.17284192638769894,0.871184505988024,0.0,0.0093562874251497,0.034203903345253785,0.024089321357285427,0.84,0.3917816415389069,202401,2024
20240201,0.06424117377731671,-0.04724816201202785,0.11148933578934456,0.807814371257485,0.0,0.0093562874251497,0.02630644256179566,0.024089321357285427,0.56,0.35261326447726676,202402,2024
20240202,0.0792529832250181,0.025564246211897235,0.053688737013120866,0.6713040224508886,0.0,0.009354536950420954,0.004165806056864403,0.024084814468350483,0.30000000000000004,0.31099671921410443,202402,2024
20240205,0.11236904518592833,0.12974664669580332,-0.017377601509874996,0.4213809880239521,0.0,0.0093562874251497,0.000984934933042837,0.024089321357285427,0.45999999999999996,-0.16948225896557634,202402,2024
20240206,0.05271391776424508,0.11521536013490977,-0.06250144237066468,0.190488306828812,0.0,0.009354536950420954,0.0,0.024084814468350483,0.24,-0.5281600144652603,202402,2024
20240207,0.026946986389303432,0.16160550169381646,-0.13465851530451303,0.14748222970445193,0.0,0.00935278713056491,0.0,0.02408030926549445,0.6,-0.7665820214599878,202402,2024
20240208,0.017436429788108717,0.11781658620673822,-0.1003801564186295,0.18192221391174268,0.0,0.009349289454001496,0.0,0.024071303914235856,0.45999999999999996,-0.7396550951272816,202402,2024
