period,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight
development,1456,0.15003860054930285,0.024490459493134553,0.10972612200767802,0.2754653977412822,-0.18976877558793837,0.5583791208791209,0.05308348737867764,0.15457911524670934,3.0,10.0,0.4061070008105979,0.5943737684201713
selection,485,0.2763713995547554,0.13517906031844285,0.1345821242324561,1.0093400076916326,-0.10362783204232207,0.5463917525773195,0.07224504996120691,0.0700776984623707,3.0,10.0,0.5478155086496618,0.4521844913503381
full,1941,0.46787637812510185,0.05109336064451875,0.11647088770639473,0.48609134105640844,-0.20292999875395878,0.5553838227717671,0.05787141002294695,0.22465681370908003,3.0,10.0,0.44151587577296053,0.558844763072995
