year,month,total_return,market_contribution,selection_contribution,low_risk_contribution,cost_contribution,average_held_exposure,average_turnover
2018,201801,-0.0032076004292864724,-0.0020661443570592795,0.0012290318232563715,0.002063584707204457,-0.004434072602688047,0.30404547920468167,0.1056001294982929
2018,201802,-0.022928121483821617,-0.03935298336861978,0.014559650983115782,0.0028367622186471287,-0.0009715513169647025,0.11919088916170864,0.032723590032362304
2018,201803,-0.007427237754962901,-0.0021204482728959515,-0.006374172850473532,0.0026689466136622054,-0.0016015632452556622,0.14828695008052883,0.036407035484058964
2018,201804,0.012136923854046966,-0.008658693601641237,0.019922960857792424,0.0027334038954480474,-0.0018607472975525705,0.23310930577068406,0.05085141994167766
2018,201805,-0.02251778932485138,-0.03894144895612167,0.021333197580321914,0.0015314804045791493,-0.006441018353630549,0.5419018903014948,0.14392551724109567
2018,201806,-0.03824361306395241,-0.030240965334316715,-0.0071344754019750925,0.002341716851344733,-0.0032098891790054464,0.2297875852899232,0.08133923936736465
2018,201807,-0.005718060554716575,-0.0014406101351557435,-0.006146362136060082,0.0030874687689627866,-0.0012185570524630646,0.06775760432669747,0.027654159559025695
2018,201808,-0.04724000486534152,-0.020790617496777068,-0.025374866670801292,0.0020755672389645794,-0.0031500879367276657,0.30022897980901053,0.07044182902021523
2018,201809,0.027762487339129116,-0.0054982343375300745,0.033532758648910144,0.0016380438510862026,-0.001910080823337275,0.3017945877338563,0.04933633768602288
2018,201810,-0.029570589490341748,-0.03131017883150072,0.001526657220764159,0.0016200312129344312,-0.0014070990925394902,0.09951434952523902,0.03983301152882062
2018,201811,-0.012442738625963345,-0.00861187529321983,-0.003873050710466071,0.0018249931394784859,-0.001782805761756318,0.0957492274529144,0.04049305247963515
2018,201812,0.0168780125894199,-0.01632790814487886,0.033482201850541446,0.0015697477598391276,-0.0018460288760810638,0.21168252972489915,0.04577100242547762
2022,202201,-0.06195816983507174,-0.06718195531822492,0.00857513033788131,0.0006235855976787197,-0.003974930452406815,0.6996692946887456,0.10433369450356968
2022,202202,-0.00026891377822924056,0.012608280166667013,-0.012361656381569863,0.0008737177250093098,-0.0013892552883358624,0.04341070391443051,0.0434142277604957
2022,202203,-0.017900446196347564,-0.016486740520425553,-0.0015575962698672163,0.001535274795455387,-0.001391384201509944,0.06510341883277493,0.030388054873957845
2022,202204,-0.026697455331597064,-0.035334740763789015,0.00784037603360323,0.0019507665854930686,-0.0011538571869041192,0.04654482899015507,0.03053634646614165
2022,202205,0.0025556240826603016,0.001511663321579928,0.00043104613286367805,0.001213617211301163,-0.0006007025830844192,0.015789473684210527,0.01578947368421053
2022,202206,0.013873802129052537,0.023163784921742224,-0.007979100188296343,0.0009432152182699292,-0.0022540978226633776,0.30070692369638075,0.053234389119525556
2022,202207,0.019480460681180478,0.010740864681660555,0.010243471255484278,0.001088647849170522,-0.002592523105134948,0.3008830413019696,0.061612850644163004
2022,202208,0.002001334214262407,-0.002172280387590494,0.006023736445868065,0.0008530398123153436,-0.0027031616563303594,0.3009881695452692,0.05883107719291794
2022,202209,-0.0344095225289609,-0.030460235602903427,-0.0024249226088983184,0.001302808517705682,-0.0028271728348644447,0.3001493414219346,0.06798690169598977
2022,202210,0.009183562088669772,8.287584973282885e-05,0.010168554347738131,0.0003921793056004188,-0.0014600474144018127,0.30051212424432017,0.04498989454322862
2022,202211,0.029215241628128608,0.029866545670376086,0.001426697660138687,0.0006428732518763744,-0.002720874954262808,0.29940606923195817,0.060494885743839794
2022,202212,-0.013063636388980893,-0.011200748239897395,-0.00015022342746768332,0.0009572946964372263,-0.0026699594180533155,0.2997316310969343,0.06084479878930266
