year,held_regime,days,day_share,year_linked_market_contribution,year_linked_selection_contribution,year_linked_low_risk_contribution,year_linked_cost_contribution,average_held_exposure
2018,CASH,72,0.2975206611570248,0.0,0.0,0.010578713372276671,-0.002247600510484382,0.0
2018,DEFENSIVE,156,0.6446280991735537,-0.15532651675313014,0.05696739707722964,0.013367123781539054,-0.018666489301421785,0.2808274654313235
2018,INITIAL,1,0.004132231404958678,0.0,0.0,0.0,-0.0014,0.0
2018,NEUTRAL,8,0.03305785123966942,0.013136460940712188,0.011232097454145155,0.00047493444679224826,-0.0036802887395008545,0.7001287973958791
2018,RISK_ON,5,0.02066115702479339,-0.051231261596708655,0.0017400625505749369,0.0,-0.002198937544424771,1.0
2022,CASH,59,0.24380165289256198,0.0,0.0,0.004371716228113712,-0.0016548099333800438,0.0
2022,DEFENSIVE,91,0.3760330578512397,-0.005791093164166233,0.004256807823196861,0.0035829758204323644,-0.010126761933665938,0.29677245731764956
2022,NEUTRAL,27,0.1115702479338843,-0.02267927795632349,-0.012164203165933541,0.0012792090753202924,-0.0029890288967221643,0.2509762495122225
2022,RISK_ON,65,0.26859504132231404,-0.05659171466098845,0.026827550791021396,0.002207464876456071,-0.009216551020349465,0.4113206557301483
