variant,average_exposure,defensive_average_exposure,zero_exposure_day_share
baseline,0.40241343184917916,0.29157368067412137,0.11401098901098901
continuous_defensive_exposure,0.32040771240251614,0.14760542844292515,0.2767857142857143
