variant,cost_bps,passed_gate,failed_gates,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023
baseline,20.0,True,,1456,0.1347704399362295,0.022123351082296017,0.11984365822011897,0.2427129422138273,-0.189337019965376,0.554945054945055,0.0835715070716631,0.24336022859268291,3.0,5.0,0.40241343184917916,0.5975865681508209,-0.1272543048224013,0.09844601661118535,0.05572694017273827,0.21396588844547515,-0.078687716116988,0.002482110460463316
continuous_defensive_exposure,20.0,False,fewer than four of six development years are positive|2019 lagged baseline by more than three percentage points|2020 lagged baseline by more than three percentage points,1456,0.09602378939537881,0.015995816616102276,0.10539152874352879,0.2035859355955703,-0.1856343820991444,0.5892857142857143,0.07795176299505306,0.22699553384159454,3.0,5.0,0.32040771240251614,0.6795922875974839,-0.03866240727896375,0.053090912059217565,-0.003257097169141576,0.19742456422938082,-0.0767348726482906,-0.017527409722660092
