month,top50_excess_5d,top50_return_5d,ndcg_at_50,precision_at_50,rank_ic,turnover
202401,0.02495198323294937,-0.03610417522551875,0.09031684814804514,0.03636363636363637,0.15879855170281182,0.6447619047619048
202402,-0.027110607524941786,0.028774909067515186,0.006899391779127221,0.0013333333333333333,-0.15692036745655816,0.3373333333333334
202403,0.006351544427755393,0.017021310567248173,0.01924990163672059,0.006666666666666667,0.014814558910347672,0.5961904761904762
202404,-0.016282245083681313,-0.016149219392503186,0.00912487380424694,0.003,-0.09576513815313628,0.339
202405,-0.003298818386653228,-0.023311274595373542,0.009317881459893162,0.003,0.09829830154467797,0.7230000000000001
202406,-0.004037631863936411,-0.015428755931705845,0.011130924169240206,0.002105263157894737,0.0081912486475248,0.7378947368421053
202407,-0.007144361857674926,-0.006882163354325574,0.010906436245572299,0.004347826086956522,0.1107193310570441,0.5208695652173914
202408,0.011110372802061499,0.00372044182707289,0.030496455356833128,0.012727272727272728,0.1648491842727864,0.6436363636363637
202409,-0.010909703982602522,0.05473580434645747,0.01631582653841508,0.0031578947368421056,0.011252556738723291,0.7000000000000001
202410,0.004655036018286089,0.03471052174324823,0.021296920974955145,0.008888888888888889,0.06445669622103753,0.6577777777777778
202411,0.0666290198809739,0.08283032589757042,0.12046239304284309,0.05904761904761905,0.20407095266479075,0.39523809523809517
202412,-0.035313377601103854,-0.06074865492380432,0.01780717514454689,0.005454545454545454,0.056351233948639896,0.6363636363636364
202501,0.0020084711490991687,0.02244256758433942,0.009223185605537643,0.003333333333333333,0.06716815599096188,0.6533333333333333
202502,-0.0003625203812892784,0.01701092539663889,0.02524128474338136,0.007777777777777778,0.033160645093321596,0.5955555555555556
202503,0.008451134516769397,-0.005026572153968948,0.04609816550765683,0.017142857142857144,0.11866115998314142,0.5561904761904761
202504,0.0105091135112542,0.026244186940759046,0.03297480862563864,0.014285714285714285,0.0940353603895908,0.6466666666666667
202505,0.01259860294038654,0.02184098214388176,0.020614374231399633,0.00736842105263158,0.17576723301837938,0.5810526315789474
202506,0.007386628324038492,0.018100750000532823,0.01859214188595377,0.007000000000000001,0.14301354511053083,0.626
202507,0.009131356462894565,0.0247154909834415,0.01834575875889564,0.008695652173913044,0.1584929987373692,0.6756521739130434
202508,-0.009693211555134964,0.0018472942910851716,0.011391517625071955,0.005714285714285714,0.03258719694402118,0.7285714285714285
202509,-0.011248249312113233,-0.006241656731252054,0.016731314950666185,0.006363636363636364,0.029061023201693913,0.629090909090909
202510,-0.007126203076478444,0.00014613616790106615,0.012274650604725816,0.003529411764705882,0.02394287078914065,0.6364705882352941
202511,0.002405740204102602,-0.0016454474033372058,0.010126415366612974,0.001,0.1168344302664485,0.723
202512,0.00876336860964269,0.020964859497248533,0.026389271272317025,0.015652173913043476,0.011506886210197754,0.5652173913043478
