days,top50_return_5d,top50_excess_5d,top50_mean_percentile,precision_at_50,random_precision_at_50,ndcg_at_50,random_ndcg_at_50,monthly_win_rate,monthly_median_excess,worst_month_excess,turnover,rank_ic,top50_return_5d_2024,top50_excess_5d_2024,top50_mean_percentile_2024,precision_at_50_2024,ndcg_at_50_2024,turnover_2024,rank_ic_2024,top50_return_5d_2025,top50_excess_5d_2025,top50_mean_percentile_2025,precision_at_50_2025,ndcg_at_50_2025,turnover_2025,rank_ic_2025,model,lookback_days,validation_days,update_days,half_life,seconds,experiment_id,bins,removed_category,factor_count
485,0.00814525003445502,0.0026412121914045805,0.5156265058427029,0.01084536082474227,0.009300879651781876,0.025932788964768562,0.024093601028236683,0.625,0.005415351773868256,-0.033519569786396516,0.599793388429752,0.07162095957231437,0.0038053352505486404,0.0016670741151383046,0.49978117064052846,0.01297520661157025,0.029970457859278717,0.5742738589211619,0.054053760261511374,0.012467305086740385,0.003611341469003094,0.5314066339041276,0.008724279835390947,0.021911735991634994,0.6251028806584362,0.08911586588183835,regression,120,20,5,10.0,157.84193634986877,A00,10.0,,20
485,0.00650500794603663,0.0010009701029861883,0.5082962657599225,0.009278350515463918,0.009300879651781876,0.02518209281343103,0.024093601028236683,0.5,0.0010398826310313402,-0.03109586619300919,0.5923140495867769,0.06685123617248423,0.0012530124704612632,-0.0008852486649490762,0.4902153538975191,0.01140495867768595,0.029283344894969886,0.5611618257261412,0.05202788552313155,0.011735390271506748,0.0028794266537694566,0.5263027705776246,0.007160493827160495,0.021097718312474645,0.6232098765432099,0.08161358537883545,regression,120,20,5,10.0,136.52055835723877,A01,,price_tech,11
485,0.007985490919992594,0.0024814530769421517,0.5188818686330102,0.009154639175257733,0.009300879651781876,0.024798214476323816,0.024093601028236683,0.5416666666666666,0.0002064485078380394,-0.029387657994924942,0.6035537190082645,0.06785400968091537,0.006343283590477227,0.004205022455066889,0.5151354322149029,0.011983471074380166,0.03289902270453744,0.5568464730290457,0.04955367740581923,0.009620940194653985,0.0007649765769166941,0.5226128876172981,0.006337448559670782,0.016730742907485562,0.6498765432098766,0.08607903194664898,regression,120,20,5,10.0,144.39687418937683,A02,,moneyflow,14
485,0.0077487540986174025,0.0022447162555669603,0.515474077595003,0.010556701030927835,0.009300879651781876,0.026192697533479952,0.024093601028236683,0.5416666666666666,0.0022071056766008856,-0.035313377601103854,0.6078925619834711,0.07253486674582973,0.003734376582793969,0.0015961154473836294,0.5023321710589926,0.012727272727272728,0.0314530395668211,0.580746887966805,0.06086623258687193,0.011746611542359257,0.002890647924621965,0.5285619022111121,0.008395061728395062,0.020954002998218403,0.6348148148148148,0.08415548183417455,regression,120,20,5,10.0,152.7097625732422,A03,,valuation,19
