period,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
development,1456,0.007355227945156084,0.001269166085434703,0.10794934092845952,0.06597235892696247,-0.19605286871752536,0.5521978021978022,0.056714917721892154,0.16515384040614994,3.0,6.0,0.38287451095673913,0.6171254890432608,14.292159265916823,0.3434065934065934,642,5.0,6.0,9.0,0.3395638629283489
selection,485,0.33007757466608667,0.159751496955854,0.1217238707717822,1.278457755620836,-0.07829097192561063,0.5298969072164949,0.07124105081402157,0.06910381928960092,5.0,7.0,0.5156788776524319,0.484321122347568,17.952744805133435,0.354639175257732,223,5.0,7.0,10.0,0.3183856502242152
full,1941,0.3398605984124963,0.03871438937214555,0.11162421115908228,0.3962118462103403,-0.20106502105987367,0.5466254507985574,0.060344580034969314,0.2342576596957509,3.0,6.0,0.41605849748296836,0.5839415025170316,15.206834168812268,0.3462132921174652,865,5.0,6.0,9.0,0.33410404624277457
