month,top50_excess_5d,top50_return_5d,ndcg_at_50,precision_at_50,rank_ic,turnover
202401,-0.009102683921787091,-0.07015884238025522,0.044388134519374796,0.023636363636363636,0.052537525254110644,0.5514285714285714
202402,0.0015059792518618523,0.057391495844318824,0.04704308112726699,0.02666666666666667,-0.08607521519682498,0.8200000000000001
202403,-0.006626511327122252,0.0040432548123705255,0.03566287480507071,0.01904761904761905,-0.025323327521611046,0.7695238095238095
202404,-0.013948861225238737,-0.01381583553406061,0.05131445389538654,0.027000000000000003,-0.09401274235070244,0.865
202405,-0.008752321818237069,-0.028764778026957382,0.062499103958548005,0.026000000000000002,-0.08182599008564799,0.852
202406,-0.004782498168174727,-0.016173622235944162,0.050547162870088834,0.017894736842105265,-0.029628788081225384,0.5831578947368421
202407,0.0015765802724396327,0.0018387787757889848,0.04470859315814212,0.019130434782608695,-0.019795330292032388,0.33391304347826084
202408,0.006759360904728654,-0.0006305700702599558,0.0938800525708809,0.05909090909090909,-0.005839384738387568,0.7345454545454545
202409,-0.011091426730249718,0.054554081598810276,0.06199038638691729,0.03684210526315789,-0.07830105900086613,0.8168421052631579
202410,0.025315767126801763,0.0553712528517639,0.08329226876723222,0.03777777777777777,-0.022034045250679212,0.6044444444444443
202411,-0.004198372154110843,0.012002933862485672,0.06069550801939697,0.049523809523809526,-0.09589766339783615,0.8142857142857144
202412,0.00040882358881844734,-0.02502645373388201,0.07384931380427764,0.049090909090909095,-0.07779213138770699,0.7718181818181818
202501,-0.026686708977200463,-0.006252612541960213,0.029674743002103814,0.014444444444444446,-0.11023870028570787,0.6477777777777778
202502,-0.0030137278866472364,0.014359717891280935,0.061564603431357674,0.026666666666666665,-0.04174546223008335,0.6911111111111111
202503,0.002268691224925878,-0.011209015445812468,0.04078174674258626,0.025714285714285717,-0.061895206102066516,0.37523809523809526
202504,-0.01504211647730471,0.0006929569522001347,0.04683666666005361,0.03142857142857143,-0.016473122712666606,0.6657142857142857
202505,0.004055811444030867,0.013298190647526084,0.06105566511983437,0.03789473684210526,0.019258543732333253,0.7263157894736842
202506,-0.006229460241136256,0.004484661435358073,0.05022108234346506,0.03,-0.10129921007865772,0.43499999999999994
202507,-0.014984689165792825,0.000599445354754114,0.032322839731301414,0.01826086956521739,-0.059752134085880454,0.4747826086956522
202508,-0.0027387769969004043,0.00880172884931973,0.037976387919428804,0.015238095238095238,-0.04706634921046837,0.41047619047619044
202509,0.00492221849341783,0.009928811074279007,0.0745474236755901,0.025454545454545455,-0.053977759343174274,0.3654545454545454
202510,0.0033455474035721106,0.01061788664795162,0.07444145370770341,0.054117647058823534,-0.16988755650501736,0.43176470588235294
202511,0.0025198934008903657,-0.0015312942065494413,0.0791893923485421,0.048,-0.07430762692909995,0.39699999999999996
202512,-0.004630175757779212,0.007571315129826635,0.05429490783011097,0.03130434782608695,-0.015562727467431621,0.39652173913043476
