period,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
development,1456,0.09589327853550045,0.015974876497419244,0.11477569208230536,0.1958601157555297,-0.21732217516444363,0.5570054945054945,0.060266516085596876,0.1754960948412581,3.0,8.0,0.4147733118502196,0.5852266881497804,15.187162053570413,0.35645604395604397,661,8.0,8.0,8.0,0.14069591527987896
selection,485,0.32055279705860773,0.15542884104441845,0.13300815603426505,1.1527175578076074,-0.085928683156968,0.5587628865979382,0.07576565393768732,0.07349268431955672,5.0,8.0,0.5451546767722731,0.45484532322772686,19.092944792297203,0.32989690721649484,204,8.0,8.0,8.0,0.12254901960784313
full,1941,0.4471849342477814,0.04915784572711179,0.1196454694249029,0.4611402543511678,-0.21732217516444363,0.5574446161772282,0.06413930426605224,0.2489887791608148,3.0,8.0,0.4473518600146688,0.5526481399853311,16.163104675045165,0.3498196805770222,865,8.0,8.0,8.0,0.13641618497109825
