year,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate
2018,242,-0.12280518458592327,-0.12754175038902116,0.12576094482629865,-1.0215178760417882,-0.16596605558660238,0.5206611570247934
2019,244,0.030865505400264892,0.031893460817745245,0.1202585721166838,0.32143329678521304,-0.15324310728919066,0.5491803278688525
2020,243,0.07914972102918316,0.08219855834420953,0.12216833955693507,0.7093164670531342,-0.1162365741632927,0.6213991769547325
2021,243,0.1228274529509743,0.1276555657830465,0.1527140771178564,0.8633485051611584,-0.15085694034903496,0.5390946502057613
2022,242,-0.03998180132462614,-0.04159910108306175,0.07074179832518417,-0.565085269646329,-0.09291351057189667,0.5867768595041323
2023,242,0.041827959357132016,0.04359353638546448,0.07265547562629783,0.6236927922295025,-0.051132785172545825,0.5247933884297521
2024,242,0.10212728328880982,0.10656484126149168,0.1266118824466962,0.8628547164394025,-0.085928683156968,0.5909090909090909
2025,243,0.19818537938558478,0.20623607492183993,0.1390309872665233,1.4184797679811327,-0.07228989001872,0.5267489711934157
