period,start,end,legacy_close_to_close_total_ret,corrected_open_to_open_total_ret,delta_total_ret,legacy_sharpe,corrected_sharpe,legacy_max_drawdown,corrected_max_drawdown
development,20180101,20231231,2.684792536922875,1.3955931973683753,-1.2891993395544996,1.0546764181307964,0.7360139615369404,-0.27349218026787603,-0.3369868123741713
selection,20240101,20251231,1.7384449287467665,0.9222008986666292,-0.8162440300801372,1.8446467455773745,1.1822168911281226,-0.2960210818749528,-0.3411247007904007
legacy_observation,20260101,20260529,0.20763901918789052,0.1343822375078385,-0.07325678168005201,2.4051018120014898,1.7712173675423997,-0.05262508375645669,-0.06320798005829897
