date,equity
20260107,1.0395143162459135
20260108,1.0417633768815306
20260109,1.071915481527872
20260112,1.0892503074619881
20260113,1.1353786594242607
20260114,1.1302265897040638
20260115,1.1306767419883215
20260116,1.1188389422198144
20260119,1.1107025080061814
20260120,1.1071359714705946
20260121,1.0908110034831475
20260122,1.097329513436216
20260123,1.1490360059669353
20260126,1.182726974358512
20260127,1.182376191113907
20260128,1.1866539527768438
20260129,1.2824027431766474
20260130,1.225119639580323
20260202,1.112259875905789
20260203,1.083861542083432
20260204,1.1131404031828702
20260205,1.0940742859256207
20260206,1.0597888016765002
20260209,1.0676196356270788
20260210,1.0939726775944496
20260211,1.0836187735880143
20260212,1.1034525196725509
20260213,1.1001646236676947
20260224,1.1011924670689732
20260225,1.1135669626114346
20260226,1.1296628023260014
20260227,1.123299664517142
20260302,1.1482630235445541
20260303,1.1985540161194588
20260304,1.2370030974989725
20260305,1.2024949254056871
20260306,1.1792401545755058
20260309,1.2425062578934674
20260310,1.2035079730449791
20260311,1.2076210408617627
20260312,1.2249634469205
20260313,1.2148702419056954
20260316,1.213924138901215
20260317,1.178006980964245
20260318,1.1501935001671908
20260319,1.1422407979304465
20260320,1.152125862935726
20260323,1.1217972795891382
20260324,1.120632872571236
20260325,1.1283749361514064
20260326,1.1373313577371191
20260327,1.1320349619182088
20260330,1.1210117730697728
20260331,1.0965033988852906
20260401,1.097336593255552
20260402,1.1141411473632221
20260403,1.1202018059697143
20260407,1.1030972143559608
20260408,1.116571477196094
20260409,1.1121358784885962
20260410,1.1214951309743204
20260413,1.1232277809277758
20260414,1.1311134648778083
20260415,1.1526379728723077
20260416,1.139047952843183
20260417,1.1566585263456783
20260420,1.1633344180331369
20260421,1.1642834647968299
20260422,1.165637947942178
20260423,1.210534164492305
20260424,1.1980718172736446
20260427,1.2080302984047364
20260428,1.2179887085018837
20260429,1.2008359605244483
20260430,1.2197571700452292
20260506,1.2576355712258898
20260507,1.2905159702196458
20260508,1.2830430506991148
20260511,1.3207061013988286
20260512,1.329366813993374
20260513,1.2999851172161627
20260514,1.3963865594407043
20260515,1.3428746490582666
20260518,1.3463046712114262
20260519,1.360643099547227
20260520,1.4123878347064747
20260521,1.4214303023929602
20260522,1.3737321435904633
20260525,1.4143200940425975
20260526,1.4835722742701245
20260527,1.5027740107825915
20260528,1.4793557902257584
20260529,1.5119231042505794
