strategy_id,period,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,rebalance_count
aggressive_lgbm5_top3,val,483,1.0334188729666418,0.448151534355673,0.3504783752397461,1.2303830419508892,-0.3318968243860867,0.5031055900621118,0.7329099720967694,483
aggressive_lgbm5_top3,observation,93,0.08148011740527572,0.2364577139294215,0.2700703588731484,0.9214560911985187,-0.12882878975892897,0.5698924731182796,0.7463818981999547,93
recommended_lgbm5_top5,val,483,1.2175835068395822,0.515162180538697,0.3405077308924809,1.3893232592129443,-0.331148681358049,0.5279503105590062,0.7093228238682673,483
recommended_lgbm5_top5,observation,93,0.08605862923020036,0.25069322648578174,0.2451055399066341,1.0360254676632685,-0.11182706126478614,0.5376344086021505,0.706236883061464,93
diversified_lgbm10_top10,val,483,0.8259518032746687,0.36908119484707536,0.32800625026367647,1.1207066479529875,-0.33948760119810173,0.5320910973084886,0.6169230377344183,483
diversified_lgbm10_top10,observation,93,0.21674499395109148,0.7016229950989525,0.20708915015102,2.673342032510151,-0.0786751362337107,0.5698924731182796,0.5967599194320894,93
interpretable_industry_breakout_top3,val,483,-0.10650716991746878,-0.057063823004120606,0.35891528585131505,0.014356568948225517,-0.4022947716838885,0.484472049689441,0.6538989661682452,483
interpretable_industry_breakout_top3,observation,93,0.6593327018760688,2.9441076826238017,0.447106731392009,3.300754286333904,-0.1935823938021134,0.6129032258064516,0.7764348625938433,93
stable_formula_low_vol_top20,val,483,0.20278942176478165,0.10112862350775664,0.2883985803716965,0.4766397492161985,-0.2496538206481611,0.4968944099378882,0.3479438869993117,483
stable_formula_low_vol_top20,observation,93,0.0918451437062704,0.2688320109574003,0.254728015111407,1.062840379705793,-0.10461307697442368,0.5591397849462365,0.3644216642366634,93
