date,equity
20260107,1.009084016829729
20260108,1.00706870470138
20260109,1.0275503912814141
20260112,1.0466205297878708
20260113,1.0661396925373061
20260114,1.0486338234295387
20260115,1.045972960774929
20260116,1.0493879121771088
20260119,1.043286667030006
20260120,1.0624272852775165
20260121,1.0612478627329698
20260122,1.0732486309308495
20260123,1.0786331447195463
20260126,1.0951822480983449
20260127,1.0810348557660883
20260128,1.078873759388532
20260129,1.0778958673984211
20260130,1.0635359987430764
20260202,1.0589653841637743
20260203,1.0475983184014916
20260204,1.0590128620390968
20260205,1.0641995955161119
20260206,1.062963735340049
20260209,1.0641703562043525
20260210,1.0661326529802952
20260211,1.0668664109368098
20260212,1.068479897488789
20260213,1.0565027880752347
20260224,1.0618536385433182
20260225,1.0635709657284318
20260226,1.0764425450249118
20260227,1.0621281503837645
20260302,1.1044285894693715
20260303,1.1019233432095559
20260304,1.0702025219069284
20260305,1.0948632511949228
20260306,1.0972918447758027
20260309,1.1110624258745672
20260310,1.113437219641745
20260311,1.1175985741584955
20260312,1.1329231266181645
20260313,1.1367366245956219
20260316,1.1480318928290805
20260317,1.1521071623002714
20260318,1.1536739556890419
20260319,1.1258646601019002
20260320,1.1228793873547316
20260323,1.060282695159452
20260324,1.0474128110581584
20260325,1.0654831987228064
20260326,1.0612096825573272
20260327,1.027120725610378
20260330,1.0396210371888865
20260331,1.0617997081545194
20260401,1.0768297050080544
20260402,1.0695603877559408
20260403,1.0490391437656916
20260407,1.0246619875666152
20260408,1.0704633512763106
20260409,1.09872015410028
20260410,1.096589046448262
20260413,1.0823898219799895
20260414,1.1041059166235172
20260415,1.1171987599056026
20260416,1.098200412117368
20260417,1.104606235158108
20260420,1.1184896731449463
20260421,1.1296367670047838
20260422,1.120792739590278
20260423,1.128994412158425
20260424,1.1165445641919511
20260427,1.1112323485601345
20260428,1.1157334331092452
20260429,1.1097714773607548
20260430,1.1316500783246926
20260506,1.1272545334113815
20260507,1.1271138801598795
20260508,1.110642916987151
20260511,1.1301283789978929
20260512,1.1432982429712322
20260513,1.142370420340577
20260514,1.1614416836793193
20260515,1.131269203755557
20260518,1.1199259013315115
20260519,1.1257699586055
20260520,1.1178091856534764
20260521,1.1091536670108395
20260522,1.0821929165089765
20260525,1.0941233777219197
20260526,1.064393616457682
20260527,1.0803791418189648
20260528,1.070354039724808
20260529,1.0860586292302004
