feature,importance
volatility_20d_rank,1252
ma_gap_10_60_rank,1228
drawdown_60d_rank,1101
ret_20d_rank,1092
ret_60d_rank,1045
risk_adj_20_60_rank,1042
volatility_10d_rank,1030
ma_gap_5_20_rank,810
close_pos_20d_rank,708
risk_adj_10_20_rank,679
ret_10d_rank,534
ret_3d_rank,512
ret_5d_rank,490
range_1d_rank,486
ret_1d_rank,446
risk_adj_5_20_rank,433
volume_z_20d_rank,351
turnover_z_20d_rank,261
