factor_name,period,month,alpha,top_return,ndcg,rank_ic
sector_factor_01,discovery,201501,,,,
sector_factor_01,discovery,201502,0.010990689899093511,0.08147591768880375,0.026534881544414034,0.2796688072813739
sector_factor_01,discovery,201503,0.011462699675850434,0.1320819717196917,0.05296680883745406,0.19168435817511745
sector_factor_01,discovery,201504,-0.0011909259353451922,0.059361017627383085,0.03722053371723438,-0.13986185790944244
sector_factor_01,discovery,201505,0.034348081930410515,0.2330390288354829,0.17024734770832042,0.07586733195722621
sector_factor_01,discovery,201506,-0.002624906809923392,-0.188330659637272,0.08643775170251598,-0.15030612063223567
sector_factor_01,discovery,201507,0.002647758974744188,0.1019322893772092,0.06060567161143244,-0.08505799312522487
sector_factor_01,discovery,201508,-0.00034809603828159593,-0.12894395208540596,0.096446783359346,0.001486564383724486
sector_factor_01,discovery,201509,-0.014961736692608743,0.07103436294884886,0.07598024161036677,-0.10777383801621851
sector_factor_01,discovery,201510,0.021121460227629212,0.10054721879543435,0.1422144071643858,0.22911460047413762
sector_factor_01,discovery,201511,0.025895308770766262,0.050013290605039354,0.16647693401506575,0.273213918029827
sector_factor_01,discovery,201512,0.013197661820887288,-0.04676378577259248,0.14463047087362324,0.1146579331346828
sector_factor_01,discovery,201601,0.006710073005575823,-0.03358072210801765,0.17976390057702515,0.014101331682791781
sector_factor_01,discovery,201602,-0.006813474564781225,-0.019462874547753015,0.11001441258571829,-0.10681250526163295
sector_factor_01,discovery,201603,-0.008721767768127242,0.06095551611265957,0.11986707940009388,-0.10121507838822162
sector_factor_01,discovery,201604,0.0013257889177541963,-0.02854666482162429,0.09126385268451766,0.04301575856154123
sector_factor_01,discovery,201605,-0.0023990340935692413,0.01249193139429692,0.05520316823185373,0.002818777423323165
sector_factor_01,discovery,201606,0.020915621126005035,0.061604608212437593,0.2856288316399879,0.15305695105579373
sector_factor_01,discovery,201607,-0.00667552479034616,-0.01762152075867302,0.09686591220047147,-0.014370341491041475
sector_factor_01,discovery,201608,0.0054169118645131,0.023288754759351316,0.08467018759220783,0.07442336840816328
sector_factor_01,discovery,201609,0.005495699902267571,0.017878778541489736,0.084865402459473,0.11180773113849211
sector_factor_01,discovery,201610,0.007368272405232879,0.02162653182822396,0.1394780328729586,0.15834951345040316
sector_factor_01,discovery,201611,0.006561848226632347,0.0002988748046019193,0.14433502338362406,0.08433484835135709
sector_factor_01,discovery,201612,0.003976399993027714,-0.006056823804762892,0.034404720940663006,0.1704157886083322
sector_factor_01,discovery,201701,0.00032794292208825765,-0.00011150330651111748,0.0681693702885559,0.06325349391257003
sector_factor_01,discovery,201702,0.03805752627878536,0.05991360883150871,0.41517394295976917,0.056759212186660926
sector_factor_01,discovery,201703,0.009844056770198862,0.008965710089693818,0.15632395117023853,-0.027357242297556008
sector_factor_01,discovery,201704,0.01951853146783568,-0.02988178612188979,0.1873830764822103,0.05794149139622565
sector_factor_01,discovery,201705,0.012885900805001255,-0.004130625105899526,0.1621297574159747,0.020205805414836867
sector_factor_01,discovery,201706,-0.004965818128795116,0.01648813780924353,0.024557787546112878,-0.10769658277902418
sector_factor_01,discovery,201707,0.0072308505302507405,0.002323491919724758,0.12306752218986611,0.054110429642259344
sector_factor_01,discovery,201708,-0.006888429896136991,0.023169292621162678,0.06154696318316034,-0.12423710266726451
sector_factor_01,discovery,201709,0.015728125468255538,0.02037028517425781,0.13789606217729172,0.04193098705636468
sector_factor_01,discovery,201710,0.013353895946032581,0.0037874454306267365,0.14269753119134104,0.16545969931681312
sector_factor_01,discovery,201711,-0.00016630075443465733,-0.0333080697931688,0.15714464094365377,0.007069804226843794
sector_factor_01,discovery,201712,-0.0013615593825579448,0.006152491000258513,0.07637215206896082,-0.01036404855522005
sector_factor_01,discovery,201801,0.004067832707875808,-0.05566068608895876,0.061320266573904436,0.12115068301098128
sector_factor_01,discovery,201802,-0.01832390606678786,0.03877475320410061,0.01094044578268779,-0.1220485404670059
sector_factor_01,discovery,201803,0.012084306653678987,0.016408433499534362,0.15330975400861072,0.19047817728389002
sector_factor_01,discovery,201804,0.0161448796259377,0.009374469667737785,0.14812293615127173,0.13266765648378548
sector_factor_01,discovery,201805,0.012745514778056301,-0.0059823093939485265,0.13396321134842348,0.08059796438376925
sector_factor_01,discovery,201806,0.009160893773970474,-0.04939592758426443,0.08860615358389326,0.09684631488156732
sector_factor_01,discovery,201807,0.001080862182432975,-0.009746810199629346,0.08602460340121064,-0.01294226756032346
sector_factor_01,discovery,201808,-0.004250787221417381,-0.023124511752330757,0.05316150730326345,-0.0223370741397973
sector_factor_01,discovery,201809,-0.0026881442325405024,-0.055163503656359886,0.06932014562979427,-0.07057971056550268
sector_factor_01,discovery,201810,-0.00935588416022073,0.02351497337254437,0.06272121962459085,-0.16214161527787851
sector_factor_01,discovery,201811,-0.009813388228866194,0.0015048755316952752,0.07006179385017251,-0.07390612872320618
sector_factor_01,discovery,201812,0.009031567520377117,-0.005537670028279536,0.1297401574691019,0.10932047983794838
sector_factor_01,discovery,201901,0.002290421499437142,0.025694504166527955,0.08986340784366262,-0.026500006694359424
sector_factor_01,discovery,201902,-0.015620438214450331,0.10379296845756471,0.037820259219959414,-0.1254818902530349
sector_factor_01,discovery,201903,-0.01196674709200585,0.03320849319972608,0.021761893973705294,-0.06683614660186549
sector_factor_01,discovery,201904,-0.0026626129811607234,-0.06425570793217047,0.01848266493850617,-0.026633311450602777
sector_factor_01,discovery,201905,-0.008895354907763232,-0.01764938348671421,0.012626378169639754,-0.0353587185364777
sector_factor_01,discovery,201906,-0.00811661809679193,0.010411671527330519,0.06296717146608315,-0.06441659989868398
sector_factor_01,discovery,201907,0.00016292934142368378,-0.02893861050188602,0.028690782322319856,0.010399303032378116
sector_factor_01,discovery,201908,-0.007003604451947017,0.036873909150282005,0.05932696509525699,0.05465766950505857
sector_factor_01,discovery,201909,-0.0013601433598304834,-0.013624573698907624,0.047694383516774554,-0.0032273626372050224
sector_factor_01,discovery,201910,0.008028695680975629,-0.00402400241493726,0.07112210458524854,0.12905372054130831
sector_factor_01,discovery,201911,-0.0035244767407109473,-0.0021240675136574446,0.061139636949714075,-0.06901498200825407
sector_factor_01,discovery,201912,0.006004917972202042,0.05176650840982223,0.08636510711594152,0.12264676554951238
sector_factor_01,discovery,202001,0.011194312838456703,-0.03672083932425494,0.09149028884396652,0.13585821347444282
sector_factor_01,discovery,202002,0.0260856014078212,0.07527721369100618,0.13867485012831976,0.037329359686930574
sector_factor_01,discovery,202003,-0.0073140119516477455,-0.03190143309978091,0.027589964701428816,-0.03247260792644521
sector_factor_01,discovery,202004,0.022281944045899473,0.03261659302571345,0.08524613287273272,0.14520506811889156
sector_factor_01,discovery,202005,0.009090708609101104,0.027210209487950325,0.07375900326356212,0.015855319943738046
sector_factor_01,discovery,202006,0.020331028878388807,0.08306924218239146,0.11870989475485072,0.0007352174225117181
sector_factor_01,discovery,202007,0.01039163737217401,0.03921980784785852,0.10448203587982467,-0.0064396708010584286
sector_factor_01,discovery,202008,-0.0042326739192910705,-0.00800197318064983,0.019781511664745687,0.0005031318886279094
sector_factor_01,discovery,202009,0.0011929483695639982,-0.001867618040350035,0.03102669920286649,0.05996399387487245
sector_factor_01,discovery,202010,0.00019661058056200077,-0.01056934536572953,0.10709457436209725,0.022389682632534352
sector_factor_01,discovery,202011,0.008774116022417898,0.012548105373363276,0.10299879763876126,-0.02982752860646274
sector_factor_01,discovery,202012,0.025219016340788825,0.002124084476077848,0.06882792210664167,0.2520157307017087
sector_factor_01,discovery,202101,-0.00448783824647518,-0.023653846110391896,0.09179350061659097,-0.0376874308707056
sector_factor_01,discovery,202102,-0.022587290273943177,0.010517933949110252,0.02692638308136117,-0.08641020199861894
sector_factor_01,discovery,202103,0.008587798794353691,0.016553505783636152,0.0721224036727361,0.04207991151473734
sector_factor_01,discovery,202104,-0.00014352491944554305,0.00627068974555143,0.036463447235240094,0.03944963304147334
sector_factor_01,discovery,202105,-0.003166521592647049,0.02877024252278109,0.06498988398002606,0.0014131291994145304
sector_factor_01,discovery,202106,0.012699919236167216,0.02424334797361293,0.047855296536296534,0.2042484213083108
sector_factor_01,discovery,202107,0.04424266495865456,0.05459954222030567,0.1617068007366755,0.236014590879319
sector_factor_01,discovery,202108,0.019065366485352023,0.04648037456155924,0.09148285685342096,0.032069031372632145
sector_factor_01,discovery,202109,-0.019402382587480813,-0.03759654194000177,0.020216606560997656,-0.12173716623171893
sector_factor_01,discovery,202110,-0.009822105514396669,-0.012726436072625802,0.04115546826896437,-0.015513539893909469
sector_factor_01,discovery,202111,-0.0110341472496522,0.02058592699640113,0.017907857861482693,-0.07073353263782269
sector_factor_01,discovery,202112,-0.007174771977282851,0.005854828117045817,0.011892990032192284,0.0028196954623907478
sector_factor_01,discovery,202201,0.00047177797515997186,-0.03212762379017046,0.03573404874432355,0.053548024280823635
sector_factor_01,discovery,202202,-0.0015601281173925961,-0.006364502734959388,0.04592666778428233,0.04543183491001454
sector_factor_01,discovery,202203,0.013109803334049867,-0.010438343955193767,0.07064759988530475,0.09491810038621716
sector_factor_01,discovery,202204,0.007743076245053685,-0.03599952074000612,0.07273238406276077,-0.07538671166772652
sector_factor_01,discovery,202205,-0.0022776107375723146,0.04424792482137778,0.05152266299139439,0.052267452018175654
sector_factor_01,discovery,202206,0.007403398805672555,0.02825255241962926,0.07650586905598565,0.019708856826564522
sector_factor_01,discovery,202207,0.004522870355560503,0.015608754506306848,0.07710051025248267,0.08555568258807625
sector_factor_01,discovery,202208,-0.00402025221178943,-0.005828892090927263,0.03569338176630433,-0.16307153649960418
sector_factor_01,discovery,202209,0.0010523763446408801,-0.03127899410970886,0.044606553385919935,-0.007256193886143605
sector_factor_01,discovery,202210,-0.014424252726122216,0.018281140459657765,0.08400771714902083,-0.06605809625322563
