expression_text,fitness,direction,peak_month,nodes,depth,category,duplicate_corr,manual_duplicate_corr,manual_duplicate_factor,selected,reject_reason,factor_name
"min(ret_1d_rank, mul(zscore_20(close_pos_20d_rank), ret_3d_rank))",0.027676415502212146,1,201701,6,3,trend,0.385277485600821,0.8459991472649725,ret_1d_rank,False,manual_factor_duplicate,
"min(mul(risk_adj_5_20_rank, max(close_pos_20d_rank, risk_adj_5_20_rank)), ret_5d_rank)",0.027663960663678974,1,201505,7,3,trend,0.6760370636042861,0.9831548851774108,ret_5d_rank,False,manual_factor_duplicate,
"add(ret_1d_rank, signed_log(risk_adj_10_20_rank))",0.027659656293792467,1,201505,4,2,trend,0.5818821384397345,0.8572697828891208,ret_1d_rank,False,manual_factor_duplicate,
std_20(volatility_10d_rank),0.027622687074458432,-1,202001,2,1,volatility,0.6349107378977363,0.04457048683824167,range_1d_rank,False,peak_month_limit,
"mul(abs(neg(ret_5d_rank)), mean_5(volatility_10d_rank))",0.027602791679047473,1,202012,6,3,volatility,0.646764506081791,0.8542271923700201,volatility_10d_rank,False,manual_factor_duplicate,
std_20(ret_10d_rank),0.0275951939350811,1,202305,2,1,trend,0.868001764109266,0.3554467383037459,volatility_20d_rank,False,correlation_duplicate,
"mul(ret_5d_rank, ret_60d_rank)",0.027571930311796382,1,201505,3,1,trend,0.646672099260294,0.10358096388720442,ret_5d_rank,False,peak_month_limit,
"add(ret_10d_rank, volatility_10d_rank)",0.027546778929003785,1,201505,3,1,volatility,0.9782475107643236,0.7298185435519432,volatility_10d_rank,False,peak_month_limit,
"max(ma_gap_10_60_rank, risk_adj_5_20_rank)",0.027539892718980132,1,201505,3,1,breakout,0.5960274811401343,0.6819141237034406,ma_gap_10_60_rank,False,peak_month_limit,
std_20(ret_3d_rank),0.027509059455112554,-1,201509,2,1,trend,0.5475539675263426,0.5517583700139822,volatility_20d_rank,True,,sector_factor_27
ret_1d_rank,0.027505931240446074,1,201702,1,0,trend,0.37416583921239205,1.0,ret_1d_rank,False,manual_factor_duplicate,
"max(min(signed_log(risk_adj_10_20_rank), risk_adj_20_60_rank), volatility_20d_rank)",0.027490466057801973,1,202001,6,3,trend,0.7217191561033037,0.7802407306683729,volatility_20d_rank,False,peak_month_limit,
neg(close_pos_20d_rank),0.027472601367932982,-1,201505,2,1,breakout,0.7507487143131656,1.0,close_pos_20d_rank,False,manual_factor_duplicate,
signed_sqrt(close_pos_20d_rank),0.027472601367932982,1,201505,2,1,breakout,0.7507487143131656,1.0,close_pos_20d_rank,False,manual_factor_duplicate,
"add(abs(max(ret_1d_rank, ret_3d_rank)), risk_adj_5_20_rank)",0.02744858966662999,1,201505,6,3,trend,0.7653502924658112,0.9275919738804459,risk_adj_5_20_rank,False,manual_factor_duplicate,
"add(ma_gap_10_60_rank, delta_5(ma_gap_10_60_rank))",0.027438809244609674,-1,201506,4,2,breakout,0.655576441369438,0.9482717132028488,ma_gap_10_60_rank,False,manual_factor_duplicate,
"min(mean_5(drawdown_60d_rank), ret_3d_rank)",0.027413441887242644,1,201702,4,2,breakout,0.5752211111318644,0.7649690675863906,drawdown_60d_rank,False,peak_month_limit,
mean_5(ma_gap_10_60_rank),0.02740247186895073,-1,201506,2,1,breakout,0.7522270765384393,0.9852196210070633,ma_gap_10_60_rank,False,manual_factor_duplicate,
"sub(max(max(ret_10d_rank, volatility_10d_rank), mul(ret_5d_rank, volatility_10d_rank)), ret_60d_rank)",0.02738679097048428,1,201802,9,3,trend,0.4836368535147461,0.8578741670620335,ret_60d_rank,False,manual_factor_duplicate,
"signed_log(sub(slope_5(risk_adj_10_20_rank), signed_sqrt(risk_adj_5_20_rank)))",0.027369276727691315,-1,201505,6,3,trend,0.7158286254657634,0.962419183290418,risk_adj_5_20_rank,False,manual_factor_duplicate,
delta_5(drawdown_60d_rank),0.027357743807262944,1,201912,2,1,breakout,0.6184757721870663,0.743636926933823,ret_5d_rank,True,,sector_factor_28
zscore_20(ret_10d_rank),0.027320065040267138,1,201505,2,1,trend,0.892794689256336,0.7186879366919487,ret_10d_rank,False,peak_month_limit,
mean_5(drawdown_60d_rank),0.027259736610986983,1,201702,2,1,breakout,0.6477331853948315,0.9358195341271331,drawdown_60d_rank,False,manual_factor_duplicate,
"mul(ma_gap_10_60_rank, signed_log(ret_3d_rank))",0.02725875173225241,1,202012,4,2,breakout,0.5646168549366246,0.09736388821012507,ret_3d_rank,False,peak_month_limit,
ret_60d_rank,0.02723246206027228,1,201505,1,0,trend,0.5056192320791209,1.0,ret_60d_rank,False,manual_factor_duplicate,
"max(ret_5d_rank, mul(add(risk_adj_10_20_rank, ret_10d_rank), sub(risk_adj_20_60_rank, drawdown_60d_rank)))",0.027207899138296823,1,201505,9,3,trend,0.4470834729636981,0.6416580139024032,ret_5d_rank,False,peak_month_limit,
ts_rank_20(close_pos_20d_rank),0.027198433185258344,1,201505,2,1,breakout,0.721274074121802,0.6540825355837288,close_pos_20d_rank,False,peak_month_limit,
"min(risk_adj_5_20_rank, add(min(ret_1d_rank, risk_adj_20_60_rank), abs(drawdown_60d_rank)))",0.02719644201715319,1,201505,8,3,trend,0.679885800340372,0.860767769165118,risk_adj_5_20_rank,False,manual_factor_duplicate,
"add(range_1d_rank, ts_rank_20(ret_60d_rank))",0.027194906710875905,1,201505,4,2,breakout,0.7881398382800725,0.8763551052556123,range_1d_rank,False,manual_factor_duplicate,
mean_5(risk_adj_10_20_rank),0.027194257073198082,1,201505,2,1,trend,0.6532554811705837,0.8990434860741414,ma_gap_5_20_rank,False,manual_factor_duplicate,
"min(ma_gap_10_60_rank, std_20(volume_z_20d_rank))",0.027181961895067205,-1,201506,4,2,breakout,0.7277950206861795,0.9772774504210582,ma_gap_10_60_rank,False,manual_factor_duplicate,
"max(volatility_20d_rank, min(mul(volatility_10d_rank, volatility_20d_rank), volatility_10d_rank))",0.027177241495465767,1,202001,7,3,volatility,0.7468035371830968,0.982883958662459,volatility_20d_rank,False,manual_factor_duplicate,
ret_10d_rank,0.027148324385243144,1,201505,1,0,trend,0.6941879739084715,1.0,ret_10d_rank,False,manual_factor_duplicate,
"max(sub(sub(volatility_10d_rank, ret_10d_rank), std_20(risk_adj_5_20_rank)), risk_adj_5_20_rank)",0.02711557966172828,1,201702,8,3,trend,0.6152249068745196,0.6199300953586386,risk_adj_5_20_rank,False,peak_month_limit,
"min(ret_1d_rank, min(signed_sqrt(risk_adj_10_20_rank), signed_log(ret_3d_rank)))",0.02709976534415798,1,201702,7,3,trend,0.6033905352142637,0.735969497282045,risk_adj_10_20_rank,False,peak_month_limit,
signed_log(std_20(ret_10d_rank)),0.0270951939350811,1,202305,3,2,trend,0.8680015511194054,0.355447204794894,volatility_20d_rank,False,correlation_duplicate,
signed_sqrt(std_20(ret_10d_rank)),0.0270951939350811,1,202305,3,2,trend,0.8680015635878178,0.3554471643962265,volatility_20d_rank,False,correlation_duplicate,
"add(ret_1d_rank, drawdown_60d_rank)",0.027080471364881023,1,201702,3,1,breakout,0.5457487518840545,0.7812765222501413,ret_1d_rank,False,peak_month_limit,
mean_5(ret_60d_rank),0.02707452383522217,1,201505,2,1,trend,0.5684834225123322,0.9726819320879434,ret_60d_rank,False,manual_factor_duplicate,
"min(range_1d_rank, risk_adj_20_60_rank)",0.027028850991501808,1,202107,3,1,breakout,0.6588968514617386,0.6870322757965529,risk_adj_20_60_rank,True,,sector_factor_29
"neg(min(drawdown_60d_rank, ret_10d_rank))",0.027024890049051474,-1,201702,4,2,breakout,0.5915840492621204,0.8478099162894843,drawdown_60d_rank,False,manual_factor_duplicate,
"max(close_pos_20d_rank, range_1d_rank)",0.027023520604404487,1,201702,3,1,breakout,0.7355741675770129,0.6444621698530322,range_1d_rank,False,peak_month_limit,
signed_sqrt(ret_1d_rank),0.027005931240446073,1,201702,2,1,trend,0.37416583921239205,1.0,ret_1d_rank,False,manual_factor_duplicate,
signed_sqrt(abs(std_20(ma_gap_5_20_rank))),0.026994209690299864,-1,202001,4,3,breakout,0.7409596032878487,0.24880986739056252,volatility_20d_rank,False,peak_month_limit,
"signed_log(neg(add(risk_adj_5_20_rank, ma_gap_10_60_rank)))",0.026976563742820137,-1,201505,5,3,breakout,0.6245796911592791,0.7447738222540227,ma_gap_10_60_rank,False,peak_month_limit,
"mul(range_1d_rank, signed_log(ret_3d_rank))",0.026962957424247348,1,201702,4,2,breakout,0.14265866996219248,0.20616821945152847,ret_3d_rank,False,peak_month_limit,
"neg(max(risk_adj_5_20_rank, drawdown_60d_rank))",0.026947970548703952,-1,201505,4,2,breakout,0.6063742947731732,0.7961479027336185,risk_adj_5_20_rank,False,peak_month_limit,
"min(drawdown_60d_rank, div(ret_1d_rank, delta_5(ret_10d_rank)))",0.02692225903555386,1,201702,6,3,trend,0.3291556597168994,0.4734029962310793,drawdown_60d_rank,False,peak_month_limit,
abs(range_1d_rank),0.026911011316341722,1,201702,2,1,breakout,0.25742525389892434,0.09346178666335977,ret_5d_rank,False,peak_month_limit,
"signed_log(neg(min(ret_20d_rank, risk_adj_5_20_rank)))",0.026868480881203614,-1,201505,5,3,trend,0.8238298970855411,0.8034502683604756,risk_adj_5_20_rank,False,manual_factor_duplicate,
"add(max(abs(ret_60d_rank), mul(ret_5d_rank, close_pos_20d_rank)), zscore_20(drawdown_60d_rank))",0.026858603276423063,1,201701,9,3,breakout,0.702271571096884,0.6027824697844453,ret_10d_rank,True,,sector_factor_30
