expression_text,fitness,direction,peak_month,nodes,depth,category,duplicate_corr,manual_duplicate_corr,manual_duplicate_factor,selected,reject_reason,factor_name
"abs(max(sub(ma_gap_5_20_rank, ma_gap_10_60_rank), mul(ret_10d_rank, volatility_10d_rank)))",0.029934251310989365,1,201701,8,3,breakout,0.38366158583597465,0.24840722155910847,ret_10d_rank,True,,sector_factor_11
range_1d_rank,0.02990890755723231,1,201702,1,0,breakout,0.7461569559165999,1.0,range_1d_rank,False,manual_factor_duplicate,
delta_5(ret_5d_rank),0.02989934714678137,1,202012,2,1,trend,0.6048367736717479,0.6741228769356193,ret_5d_rank,True,,sector_factor_12
"signed_sqrt(neg(max(ret_5d_rank, risk_adj_5_20_rank)))",0.02986625595739145,-1,201505,5,3,trend,0.6514772340031144,0.9742805167265891,risk_adj_5_20_rank,False,manual_factor_duplicate,
"add(risk_adj_5_20_rank, risk_adj_5_20_rank)",0.029860303620773188,1,201505,3,1,trend,0.6309019446139055,1.0,risk_adj_5_20_rank,False,manual_factor_duplicate,
mean_5(volatility_10d_rank),0.02985133935384074,1,202001,2,1,volatility,0.709255528594497,0.9235289795266352,volatility_10d_rank,False,manual_factor_duplicate,
signed_log(ret_5d_rank),0.029827076765524554,1,201505,2,1,trend,0.6741228769356193,0.9999999999999998,ret_5d_rank,False,manual_factor_duplicate,
signed_sqrt(ret_5d_rank),0.029827076765524554,1,201505,2,1,trend,0.6741228769356193,0.9999999999999998,ret_5d_rank,False,manual_factor_duplicate,
neg(ret_5d_rank),0.029827076765524554,-1,201505,2,1,trend,0.6741228769356193,0.9999999999999998,ret_5d_rank,False,manual_factor_duplicate,
"sub(ret_10d_rank, ret_20d_rank)",0.029806195262276527,1,201506,3,1,trend,0.6751620686391572,0.3839123363728194,ret_20d_rank,True,,sector_factor_13
"sub(min(signed_sqrt(ma_gap_10_60_rank), risk_adj_10_20_rank), ret_10d_rank)",0.02975991028933844,-1,202001,6,3,trend,0.7920409998573136,0.5631392107264651,ma_gap_10_60_rank,True,,sector_factor_14
"add(ret_3d_rank, volatility_10d_rank)",0.02975475623509767,1,201505,3,1,volatility,0.5421752401122846,0.7012480319827402,volatility_10d_rank,False,peak_month_limit,
neg(volatility_20d_rank),0.029677286978800652,-1,202001,2,1,volatility,0.7384927481807796,1.0,volatility_20d_rank,False,manual_factor_duplicate,
signed_sqrt(volatility_20d_rank),0.029677286978800652,1,202001,2,1,volatility,0.7384927481807796,1.0,volatility_20d_rank,False,manual_factor_duplicate,
signed_log(volatility_20d_rank),0.029677286978800652,1,202001,2,1,volatility,0.7384927481807796,1.0,volatility_20d_rank,False,manual_factor_duplicate,
"neg(sub(signed_sqrt(ret_5d_rank), std_20(drawdown_60d_rank)))",0.029653755297391112,-1,201505,6,3,breakout,0.6609399906331445,0.9648084430757332,ret_5d_rank,False,manual_factor_duplicate,
"add(slope_5(ma_gap_5_20_rank), abs(ret_5d_rank))",0.02960201055304428,1,201505,5,2,breakout,0.30837075989208595,0.24573313667802504,range_1d_rank,False,peak_month_limit,
signed_sqrt(std_20(volatility_20d_rank)),0.02955142294021219,-1,202001,3,2,volatility,1.0,0.05455580918338258,volatility_20d_rank,False,peak_month_limit,
signed_log(std_20(volatility_20d_rank)),0.02955142294021219,-1,202001,3,2,volatility,1.0,0.05455580918338258,volatility_20d_rank,False,peak_month_limit,
slope_5(risk_adj_10_20_rank),0.02947078949328561,1,202001,2,1,trend,0.8523400242316863,0.554050451865585,risk_adj_5_20_rank,False,peak_month_limit,
"min(risk_adj_5_20_rank, ret_3d_rank)",0.029461356273791275,1,201702,3,1,trend,0.6106324392288569,0.9000233157889658,ret_3d_rank,False,manual_factor_duplicate,
"add(signed_log(signed_log(close_pos_20d_rank)), std_20(ma_gap_5_20_rank))",0.02944272024835712,1,202012,6,3,breakout,0.4859044262641363,0.8752889812762596,close_pos_20d_rank,False,manual_factor_duplicate,
signed_sqrt(range_1d_rank),0.02940890755723231,1,201702,2,1,breakout,0.7461569559165999,1.0,range_1d_rank,False,manual_factor_duplicate,
slope_5(ma_gap_5_20_rank),0.029360291294715794,1,201505,2,1,breakout,0.6306028717929135,0.5994716780351442,ret_5d_rank,False,peak_month_limit,
ret_3d_rank,0.02935812940867571,1,201505,1,0,trend,0.5382244689381367,1.0,ret_3d_rank,False,manual_factor_duplicate,
neg(signed_sqrt(ret_5d_rank)),0.029327076765524554,-1,201505,3,2,trend,0.6741228769356193,0.9999999999999998,ret_5d_rank,False,manual_factor_duplicate,
signed_sqrt(neg(ret_5d_rank)),0.029327076765524554,-1,201505,3,2,trend,0.6741228769356193,0.9999999999999998,ret_5d_rank,False,manual_factor_duplicate,
"add(zscore_20(risk_adj_20_60_rank), slope_5(ret_1d_rank))",0.029317140998199234,1,201505,5,2,trend,0.9638610383037531,0.5624299674883337,close_pos_20d_rank,False,peak_month_limit,
"sub(abs(signed_sqrt(volume_z_20d_rank)), ret_1d_rank)",0.029302680340793353,-1,201505,5,3,trend,0.3473398277059823,0.9284397832517111,ret_1d_rank,False,manual_factor_duplicate,
signed_sqrt(neg(volatility_20d_rank)),0.029177286978800652,-1,202001,3,2,volatility,0.7384927481807796,1.0,volatility_20d_rank,False,manual_factor_duplicate,
"add(volatility_20d_rank, volatility_20d_rank)",0.029177286978800652,1,202001,3,1,volatility,0.7384927481807796,1.0,volatility_20d_rank,False,manual_factor_duplicate,
signed_sqrt(signed_log(std_20(volatility_20d_rank))),0.029051422940212193,-1,202001,4,3,volatility,0.999999998569854,0.054555067567422455,volatility_20d_rank,False,peak_month_limit,
"abs(add(slope_5(risk_adj_10_20_rank), mul(volatility_10d_rank, volatility_10d_rank)))",0.029025892539160107,1,201701,7,3,volatility,0.35383493450341985,0.20649352241382588,risk_adj_5_20_rank,True,,sector_factor_15
"sub(std_20(ma_gap_10_60_rank), sub(add(ret_20d_rank, risk_adj_5_20_rank), add(ret_10d_rank, volume_z_20d_rank)))",0.02900487797805611,-1,202012,10,3,trend,0.7338192155238511,0.5244658553393002,volume_z_20d_rank,True,,sector_factor_16
mean_5(ret_5d_rank),0.0289781719372597,1,201505,2,1,trend,0.5594374230546826,0.8143426764742899,ret_10d_rank,False,manual_factor_duplicate,
neg(slope_5(risk_adj_10_20_rank)),0.02897078949328561,-1,202001,3,2,trend,0.8523400242316863,0.554050451865585,risk_adj_5_20_rank,False,peak_month_limit,
"add(min(min(risk_adj_10_20_rank, ma_gap_5_20_rank), ret_20d_rank), signed_log(div(ret_10d_rank, ret_20d_rank)))",0.028950177929964283,1,201505,10,3,trend,0.3401416180018856,0.5376974514413614,ma_gap_5_20_rank,False,peak_month_limit,
"min(ret_3d_rank, ret_5d_rank)",0.028948226691854026,1,201505,3,1,trend,0.6096126771586691,0.916819633598659,ret_3d_rank,False,manual_factor_duplicate,
"signed_sqrt(mul(volume_z_20d_rank, signed_sqrt(ma_gap_5_20_rank)))",0.028929573693634993,-1,201505,5,3,breakout,0.13891587558793628,0.08500494668644336,volatility_20d_rank,False,peak_month_limit,
