factor_name,sector_factor_01,sector_factor_02,sector_factor_03,sector_factor_04,sector_factor_05,sector_factor_06,sector_factor_07,sector_factor_08,sector_factor_09,sector_factor_10,sector_factor_11,sector_factor_12,sector_factor_13,sector_factor_14,sector_factor_15,sector_factor_16,sector_factor_17,sector_factor_18,sector_factor_19,sector_factor_20,sector_factor_21,sector_factor_22,sector_factor_23,sector_factor_24,sector_factor_25,sector_factor_26,sector_factor_27,sector_factor_28,sector_factor_29,sector_factor_30
sector_factor_14,-0.30727565063371143,0.45060089145193455,0.33477457730983917,0.33496939682776533,0.7895792992143349,0.36415390030586225,0.2679049184341545,-0.09484728697932986,-0.005139741807763268,0.01203507683367857,0.385250337214266,0.11441013358652023,0.5353875656307847,1.0,0.12591643590356658,-0.31124563236144437,0.07737086200778574,-0.10999216714971546,-0.006679085562564388,-5.2319617643793774e-05,0.08166120053204595,0.6394714649313675,0.0939311596282536,0.04615674240670207,0.2298418911623315,0.39565287842478186,0.0930280024116243,0.29894640815488044,-0.07787828523231123,0.3051250754880707
sector_factor_15,-0.02796006284421225,0.21166960040007582,0.09445491769985052,0.12489911742043407,0.13614710548387865,0.25498085377579427,0.1462791351917784,0.0761919319611708,0.12793256526043992,0.12851369787559566,0.35624070556906673,0.09798722506702197,0.13039671647573925,0.12591643590356658,1.0,-0.028340230606840367,0.11725305703996389,-0.0010341188115372529,0.10351673960559071,-0.019260426884857847,0.10179552965124064,0.08004240426411154,0.1799829699653722,-0.17823638312629256,0.15499091286120473,0.10378079799114819,-0.2308205852993477,0.14305626462898285,0.03833596231396673,0.14983745973013457
sector_factor_16,0.7354671506954807,-0.2393928937631147,0.02449262646132901,0.09660265863821159,-0.3420180850898404,-0.07966015649247826,0.07480200346409731,0.030286548883656606,0.03202585929473544,0.01800766894163432,-0.08603995610568818,0.30449513360656694,-0.5268763110312151,-0.31124563236144437,-0.028340230606840367,1.0,-0.017600657057885726,-0.04476369263579119,0.03234914359005957,0.09124665769808842,0.3047495724968596,-0.19569082446696476,0.12352734329211533,-0.08463349218062861,0.0009922826476406912,-0.16112439455855845,-0.06125391321224027,0.11003911137344027,0.1974694933703012,-0.011989277049928748
sector_factor_17,0.19125360328345026,0.45246426135740025,0.3836661207076775,0.287207589235746,0.2863339512233738,0.3040516829562235,0.1599818562083956,0.5836988061404355,0.005581421658923443,-0.049307584932904075,0.23478230642771183,-0.02330502502329465,0.18618377780479625,0.07737086200778574,0.11725305703996389,-0.017600657057885726,1.0,0.04136200371981242,0.06862739581284297,-0.07212677718285336,0.3747435158844074,-0.06490398600641949,0.6246439520916292,0.127584398197462,0.12781200633602566,-0.07070206968670993,-0.31551762313805737,0.26104919349363487,0.5671209842553975,0.4243150915903754
sector_factor_18,-0.04013134911286407,0.024725054778610447,0.028227462216562655,0.018203511476438318,0.00624544394048957,0.010857714461979926,0.010850667619436228,0.08663490597429462,-0.038949218743600265,-0.06222893884505119,0.04822096381582067,0.013779827345030513,0.004611057605462076,-0.10999216714971546,-0.0010341188115372529,-0.04476369263579119,0.04136200371981242,1.0,-0.0019917731408182772,-0.07173136332294894,0.07101543540259493,-0.08387082404803403,0.061978455500936905,-0.13991556180782988,0.0027403780063147516,0.004893149910544961,0.0026146039167561463,0.07151630003772326,-0.025853094054912464,0.08754760899535687
sector_factor_19,0.04880145714456833,-0.03143736035977741,-0.057339814208251606,-0.04063355262077651,-0.08765818923313132,-0.004031934061553227,-0.01877183260456048,0.19245327838504983,-0.09870698927564013,-0.1928239231378574,0.21209442639696985,0.016262126537657497,-0.046330504203431364,-0.006679085562564388,0.10351673960559071,0.03234914359005957,0.06862739581284297,-0.0019917731408182772,1.0,-0.1540693386638645,-0.002832857960073486,-0.08786356983924039,0.08323011745302418,0.12363637521316731,-0.018342143691621494,-0.04283817616811485,-0.5379879917951639,-0.005264513634314498,0.07199774371734796,0.029282635267839245
sector_factor_20,-0.009951047858966439,-0.014709082758758861,-0.04981951518132848,-0.01936189605969094,-0.04737580750538892,0.007333664198198381,0.005035447784056822,-0.12218183919703701,0.12561976588093454,0.16610707278005388,-0.03546615060243288,0.006334846569936192,0.011245025605791643,-5.2319617643793774e-05,-0.019260426884857847,0.09124665769808842,-0.07212677718285336,-0.07173136332294894,-0.1540693386638645,1.0,0.03317986292750199,-0.014133360423432308,-0.06012319160713876,-0.0704755003888986,0.006615848509315465,0.02657614724582068,0.1786739756733472,0.0014531721864136096,-0.03310978644412035,0.022576236017276343
sector_factor_21,0.21609731617441277,0.33121634989622073,0.4997765924170774,0.5054166823121365,0.228117860819681,0.30474907676493845,0.5968792919773729,0.02830291138800081,0.011127217020751473,0.012784405085749795,0.11357468790008651,0.3436342164150375,-0.0933560766200161,0.08166120053204595,0.10179552965124064,0.3047495724968596,0.3747435158844074,0.07101543540259493,-0.002832857960073486,0.03317986292750199,1.0,0.0585527109721086,0.4623914519317603,-0.3251083829486972,0.46471386088829625,0.0017588210894321794,0.05919847966575153,0.539245304391546,0.4391503922081085,0.5155812011167543
sector_factor_22,-0.4178245073613237,0.3977026802397963,0.29918650412393677,0.38001967554765476,0.6579410253338297,0.4042335590203687,0.42608206801355575,-0.13780440210705125,-0.004585397743606338,0.013506259984462452,0.18636828314739548,0.38926289791404145,0.39829521604750456,0.6394714649313675,0.08004240426411154,-0.19569082446696476,-0.06490398600641949,-0.08387082404803403,-0.08786356983924039,-0.014133360423432308,0.0585527109721086,1.0,0.1281175674987885,0.09696620142036151,0.45792717338351485,0.5842141717243813,0.15960223793171602,0.38841978325004173,-0.1758824770829026,0.25940778201179543
sector_factor_23,-0.0054257761545490404,0.425993451564141,0.373246051088797,0.4284392604569955,0.26118491941314004,0.4413737314604652,0.4359178808523483,0.5677086182742584,0.002297875418010946,-0.0028917613684375956,0.18511281808500366,0.42383906375589975,0.12511953638385545,0.0939311596282536,0.1799829699653722,0.12352734329211533,0.6246439520916292,0.061978455500936905,0.08323011745302418,-0.06012319160713876,0.4623914519317603,0.1281175674987885,1.0,0.009249503096217823,0.33190624047928274,0.2504159659684244,-0.2468634283867868,0.4898968691478442,0.6546891005658797,0.4507098569339784
