name,expression,expression_text,direction,category,fitness,raw_alpha,top3_month_alpha,best_contiguous_2m_alpha,daily_alpha_std,peak_month,nodes,depth
sector_factor_01,"['mul', ['sub', ['mul', 'close_pos_20d_rank', 'volume_z_20d'], 'ret_3d_rank'], 'risk_adj_5_20_rank']","mul(sub(mul(close_pos_20d_rank, volume_z_20d), ret_3d_rank), risk_adj_5_20_rank)",-1,trend,0.04200996138808065,0.047931635544311214,0.06185660981983592,0.05192234164758519,0.02421674156230558,201702,7,3
sector_factor_02,"['mul', ['sub', 'close_pos_20d_rank', 'volume_z_20d'], 'risk_adj_5_20_rank']","mul(sub(close_pos_20d_rank, volume_z_20d), risk_adj_5_20_rank)",1,breakout,0.04134717271177579,0.046075177044680414,0.04904286871446765,0.041139757645830305,0.022280043329046217,201702,5,2
sector_factor_03,"['mul', ['mul', ['mul', 'ret_3d_rank', 'volume_z_20d'], 'ret_3d_rank'], 'risk_adj_5_20_rank']","mul(mul(mul(ret_3d_rank, volume_z_20d), ret_3d_rank), risk_adj_5_20_rank)",-1,trend,0.039383842568084734,0.045215124601954725,0.04993490624232647,0.04173540212988927,0.02331282033869984,201505,7,3
sector_factor_04,"['mul', 'ret_5d', ['sub', 'close_pos_20d_rank', 'volume_z_20d']]","mul(ret_5d, sub(close_pos_20d_rank, volume_z_20d))",1,raw_state,0.03933639467832465,0.04444637285020956,0.06366871681769232,0.058259278777676844,0.02609978171884907,201505,5,2
sector_factor_05,"['mul', ['mul', 'ret_3d', 'volume_z_20d'], 'ret_3d_rank']","mul(mul(ret_3d, volume_z_20d), ret_3d_rank)",-1,raw_state,0.03849571518720088,0.04341207961232628,0.04537368039147146,0.041457071774306256,0.024163644251253984,201505,5,2
sector_factor_06,"['mul', ['max', ['sub', 'close_pos_20d_rank', 'volume_z_20d'], 'ret_3d_rank'], 'risk_adj_5_20_rank']","mul(max(sub(close_pos_20d_rank, volume_z_20d), ret_3d_rank), risk_adj_5_20_rank)",1,trend,0.03847897943770738,0.04461270994298338,0.06449429853811235,0.05599072000811886,0.026337305052759982,201702,7,3
sector_factor_07,"['mul', ['delta_5', 'close_pos_20d_rank'], 'risk_adj_5_20_rank']","mul(delta_5(close_pos_20d_rank), risk_adj_5_20_rank)",1,breakout,0.03346131197915681,0.03798403212335689,0.030037405602741804,0.032618235193052764,0.025227201442000764,201703,4,2
sector_factor_08,"['add', 'risk_adj_10_20_rank', ['signed_sqrt', ['neg', 'ma_gap_10_60_rank']]]","add(risk_adj_10_20_rank, signed_sqrt(neg(ma_gap_10_60_rank)))",1,breakout,0.033439741194613695,0.03821722369376405,0.036963162200709075,0.030279028050661856,0.022774824991503528,201802,5,3
sector_factor_09,"['delta_5', 'ret_10d_rank']",delta_5(ret_10d_rank),1,trend,0.032305868217778234,0.03605610206280119,0.03399562083916495,0.03203238102056436,0.027502338450229542,202001,2,1
sector_factor_10,"['std_20', 'ma_gap_10_60_rank']",std_20(ma_gap_10_60_rank),-1,breakout,0.031989008923489805,0.03556257099737767,0.06258297013756149,0.044070389140717675,0.025735620738878605,202001,2,1
