year,total_ret,max_drawdown
2018,-0.14167861767546264,-0.15259297891915857
2019,0.039424568584575104,-0.09862308476900583
2020,0.04491676662538069,-0.11239170518536334
2021,0.1712073281072264,-0.12716640078105912
2022,-0.06144919427981754,-0.09830630921781391
2023,-0.012217681925208113,-0.07190886800603635
2024,0.08992934220445314,-0.07279688905356207
2025,0.20238392078754064,-0.0705071770244472
