period,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight
development,1456,0.012225847975005921,0.0021053948362423913,0.09924800846090381,0.07115463715859965,-0.19080979640256135,0.5625,0.07448300084588451,0.21689449846321568,3.0,5.0,0.37937553276523567,0.6206244672347643
selection,485,0.31051351586117404,0.15085644128574627,0.12057499498549717,1.2254351253216609,-0.07279688905356207,0.5505154639175258,0.08711432797109979,0.08450089813196679,5.0,5.0,0.4791964539116401,0.5208035460883598
full,1941,0.3265356548752829,0.03736740143602191,0.10505392570964857,0.4018655544593021,-0.22550224402180674,0.5595054095826894,0.0776392057174607,0.30139539659518244,3.0,5.0,0.4043179061583352,0.5956820938416647
