trade_date,top50_return_5d,universe_return_5d,top50_excess_5d,top50_mean_percentile,precision_at_50,random_precision_at_50,ndcg_at_50,random_ndcg_at_50,turnover,rank_ic,month,year
20240102,-0.12122581920611798,-0.04184544057557213,-0.07938037863054585,0.15595421279789828,0.02,0.009382623381497467,0.021433714214811706,0.024107087008194156,,0.1463637145816933,202401,2024
20240103,-0.11585903855945112,-0.0453690686047079,-0.07048996995474321,0.16114821763602255,0.04,0.009380863039399626,0.0360182120782307,0.024190118824265167,0.42000000000000004,0.24118426112935457,202401,2024
20240104,-0.11907182485320114,-0.027200093589951894,-0.09187173126324924,0.08435272045028143,0.0,0.009380863039399626,0.0031299933290271135,0.02411507191994997,0.33999999999999997,0.08153414417957333,202401,2024
20240105,-0.164850084068968,-0.020441703559788093,-0.14440838050917992,0.04673668417104276,0.0,0.009377344336084021,0.0,0.024106026506626656,0.4,0.018256109835460003,202401,2024
20240108,-0.1575334506731503,-0.0031070938176338,-0.1544263568555165,0.056305326331582896,0.0,0.009377344336084021,0.0009922091189395203,0.024106026506626656,0.43999999999999995,-0.033113407904585765,202401,2024
20240109,-0.04610400611285261,-0.00783964808041481,-0.0382643580324378,0.2157726931732933,0.0,0.009377344336084021,0.02533771767556544,0.024106026506626656,0.42000000000000004,0.01209786807430411,202401,2024
20240110,-0.08347856863230428,-0.024755565212473993,-0.05872300341983029,0.13476565429321333,0.04,0.009373828271466067,0.048776652787954476,0.024096987876515437,0.4,0.03171820042063876,202401,2024
20240111,-0.04310468759926261,-0.04479792290190792,0.0016932353026453129,0.4365667166416792,0.06,0.009370314842578711,0.07607793315735964,0.024087956021989005,0.4,0.019096260342442887,202401,2024
20240112,0.13134358451646513,-0.04292617745695536,0.17426976197342048,0.9716054013503376,0.24,0.009377344336084021,0.40732999967215605,0.024106026506626656,0.62,0.0869780993353347,202401,2024
20240115,0.14488421772379734,-0.09326883274849268,0.23815305047229002,0.976609152288072,0.24,0.009377344336084021,0.4278956896582767,0.024106026506626656,0.5,-0.01149730597017447,202401,2024
20240116,-0.1322503878084603,-0.08995081447738976,-0.04229957333107054,0.2482995875515561,0.0,0.009373828271466067,0.003261192067140637,0.024096987876515437,1.0,-0.13335725677599125,202401,2024
20240117,-0.09274972228684504,-0.05399843615191644,-0.0387512861349286,0.23362204724409452,0.02,0.009373828271466067,0.03339164859658131,0.024096987876515437,0.86,-0.1137608613838175,202401,2024
20240118,-0.029061710214254854,-0.018117097922980777,-0.010944612291274077,0.44399850103054156,0.0,0.00936855911560802,0.006034442315305308,0.02408344263318968,0.94,0.0631186455700558,202401,2024
20240119,0.0021543540261815884,-0.011768949142187008,0.013923303168368597,0.5389733982765081,0.02,0.009366804046459348,0.018267165325558304,0.024078930935431498,0.8200000000000001,0.27626843901663095,202401,2024
20240122,0.014158778663988236,0.01393330273363239,0.00022547593035584547,0.5319479303240306,0.0,0.009365049634763064,0.002288158556890085,0.02407442092776425,0.9,0.2639284700095363,202401,2024
20240123,0.03486667093121321,-0.02064185970786203,0.055508530639075244,0.8091047012549167,0.0,0.009365049634763064,0.02920612580948794,0.02407442092776425,0.98,0.32632810515377125,202401,2024
20240124,-0.014473949985965745,-0.07750505839829773,0.06303110841233199,0.7881329588014981,0.02,0.009363295880149813,0.06658688199618662,0.024107365792759048,0.94,0.3986398242127578,202401,2024
20240125,-0.04557532613911533,-0.12223274914064734,0.07665742300153201,0.8502003370155401,0.02,0.009361542782250515,0.10490253311106935,0.024102852150034326,0.54,0.2797790872996291,202401,2024
