snapshot,asof_date,sector_code,sector_name,etf_code,etf_name,corr120,corr60,beta,tracking_error,median_amount20,eligible_before_index_gap,selected,reject_reason
through_2025_diagnostic,20251231,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,-0.041228080449670565,-0.09752302408156534,-0.11595392777281892,0.21592301870315633,8984.179499999998,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
through_2025_diagnostic,20251231,885410.TI,固废处理,159861.SZ,国泰中证环保产业50ETF,-0.028688812200938992,-0.08865912381773752,-0.08767921222918967,0.23157861617488615,3031.7205000000004,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
through_2025_diagnostic,20251231,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,0.28430586327635704,0.4090670821828683,0.34674842575976195,0.09520334118410213,5101.915,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
through_2025_diagnostic,20251231,885472.TI,上海自贸区,512650.SH,汇添富中证长三角一体化发展主题ETF,0.2197939036179663,0.21788813657757156,0.3985240195443954,0.1327965805964118,1334.5135,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
latest_observation,20260731,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,0.04221746951556138,-0.059710677477278346,0.1093787779434006,0.2129284464015289,8967.6145,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
latest_observation,20260731,885410.TI,固废处理,159861.SZ,国泰中证环保产业50ETF,0.0328547499595491,-0.06615336285507112,0.08561523919759427,0.21470587590792037,4495.31815,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
latest_observation,20260731,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,0.30508120032672476,0.30455493584335774,0.4207600685853771,0.11920784973705648,7857.860000000001,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
latest_observation,20260731,885472.TI,上海自贸区,512650.SH,汇添富中证长三角一体化发展主题ETF,0.1559063436506205,0.17745869844229115,0.41785187360906406,0.22510088317145896,5366.7235,False,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range
