month,top50_excess_5d,top50_return_5d,ndcg_at_50,precision_at_50,rank_ic,turnover
202401,0.030439426365442824,-0.0306167320930253,0.034297291476221306,0.015454545454545455,0.07991418490427107,0.7104761904761905
202402,-0.03421349231214008,0.021672024280316893,0.013423708197891938,0.004,-0.20864079249575213,0.5053333333333333
202403,-0.018423928497750996,-0.007754162358258218,0.01927249534066176,0.005714285714285714,0.02296857492611954,0.5276190476190477
202404,-0.010003129822461248,-0.00987010413128312,0.0238511326564593,0.01,-0.10627335508709605,0.653
202405,0.001025629394733463,-0.018986826813986852,0.021220486393791683,0.005,0.08764695999947694,0.662
202406,-0.007780793294743304,-0.01917191736251274,0.017437520676987533,0.004210526315789474,0.007442066723296164,0.7147368421052631
202407,0.009448461568325827,0.009710660071675179,0.027841676220441945,0.006956521739130435,0.11726711270463641,0.811304347826087
202408,0.0013392500309159616,-0.0060506809440726474,0.013957858942673783,0.002727272727272727,0.12863604801481723,0.6309090909090909
202409,1.6715808840565544e-05,0.06566222413790056,0.012463798570334217,0.005263157894736842,-0.0018852738601641149,0.6452631578947369
202410,0.01197374784391008,0.04202923356887222,0.029126144456128513,0.008888888888888889,0.0871223873202013,0.5188888888888888
202411,0.03310950155342944,0.04931080757002595,0.06072413681075628,0.02,0.23241000769577974,0.7057142857142857
202412,-0.01410604013664251,-0.039541317459342966,0.01816306440380761,0.004545454545454546,0.06727635796892875,0.6872727272727274
202501,0.010405880318332015,0.030839976753572265,0.02645432533924191,0.013333333333333332,0.08645934879443343,0.7466666666666666
202502,0.011788727067645745,0.029162172845573917,0.04463718922188543,0.014444444444444446,0.07450056984255883,0.6844444444444444
202503,0.0062506905770172835,-0.0072270160937210615,0.02292153381876196,0.009523809523809525,0.13769200812725235,0.7476190476190476
202504,0.009005133585764874,0.024740207015269716,0.03247053202070588,0.013333333333333334,0.14932947001848002,0.7161904761904762
202505,0.003735284741699108,0.012977663945194326,0.024364575871560348,0.00736842105263158,0.15988936602295023,0.6621052631578948
202506,0.00742245183335305,0.01813657350984738,0.022556284478592297,0.012,0.1368884208126069,0.734
202507,-0.0011770185929458007,0.014407115927601138,0.012518773984369598,0.0008695652173913044,0.12069456820853164,0.6756521739130434
202508,-0.0004160229568248076,0.011124482889395326,0.015266695245334224,0.004761904761904762,0.013939070621016387,0.7523809523809524
202509,-0.006774932249422192,-0.0017683396685610141,0.007698657540676743,0.0009090909090909091,0.02739344551187717,0.7972727272727272
202510,-0.0006572263808122983,0.006615112863567211,0.011060618177127564,0.0011764705882352942,0.08829179454644591,0.6952941176470588
202511,-0.006779631805496586,-0.010830819412936394,0.006960881456031187,0.0,0.05996450746002051,0.71
202512,-0.003316929072517364,0.008884561815088484,0.013803545465551681,0.002608695652173913,0.020342359285180772,0.7095652173913044
