variant,dropped_feature,feature_count,passed_gate,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023
baseline,,18,True,1456,0.1347704399362295,0.022123351082296017,0.11984365822011897,0.2427129422138273,-0.189337019965376,0.554945054945055,0.0835715070716631,0.24336022859268291,3.0,5.0,0.40241343184917916,0.5975865681508209,-0.1272543048224013,0.09844601661118535,0.05572694017273827,0.21396588844547515,-0.078687716116988,0.002482110460463316
drop_risk_adj_5_20,risk_adj_5_20_rank,17,False,1456,-0.018461097746057642,-0.0032198565473535723,0.10859230267008993,0.02474677079016255,-0.21834723353636243,0.5679945054945055,0.07666584882499354,0.2232509517783812,3.0,5.0,0.3703395188824251,0.6296604811175749,-0.16711318957996668,0.029706977493656694,0.19246153215242368,0.12018943236389479,-0.08326473926043443,-0.06539501864750463
drop_risk_adj_10_20,risk_adj_10_20_rank,17,False,1456,0.059597621033582904,0.01006965151514816,0.10203525224277993,0.1495461380824164,-0.20952891679935204,0.5570054945054945,0.07169253361617724,0.20876865789030816,3.0,5.0,0.3439197756801843,0.6560802243198157,-0.19496100538076389,0.09155871250049974,0.030685020662880813,0.20213024195497153,-0.050467597389799224,0.024919320921659605
drop_risk_adj_20_60,risk_adj_20_60_rank,17,False,1456,-0.15269102464694795,-0.028269806409039755,0.08175877561164568,-0.3096733241318966,-0.2521142420341007,0.5631868131868132,0.060704136902327066,0.17677044665957642,3.0,5.0,0.2800654234074592,0.7199345765925408,-0.16465531593305593,-0.02798039185935297,0.047045510800196366,0.02966223692492531,-0.0548204829332547,0.024062403100362006
